s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,583999.1808542443,3999491.876540789,6469.419,21.822214,0.06018655
0.1,584069.8915323627,3999421.16586267,6438.8535,28.232428,0.061363246
0.2,584140.6022104817,3999350.4551845514,6341.7773,24.578863,0.07036118
0.3,584211.3128886004,3999279.744506433,6232.6904,29.189558,0.08138649
0.4,584282.0235667189,3999209.0338283144,6199.1846,34.135597,0.11282584
0.5,584352.7342448374,3999138.3231501956,6090.435,47.995136,0.13686118
0.6,584423.4449229559,3999067.612472077,5979.3516,47.995136,0.16481669
0.7,584494.1556010746,3998996.901793958,5934.86,68.24648,0.23545164
0.8,584564.8662791935,3998926.19111584,5929.5566,90.45396,0.2880708
0.9,584635.5769573126,3998855.4804377216,5914.0874,102.63318,0.3314897
1.0,584706.2876354314,3998784.769759603,5906.4507,107.01,0.39541805
1.1,584776.9983135498,3998714.059081484,5898.7827,119.306786,0.39899024
1.2,584847.7089916682,3998643.348403365,5895.2227,121.55872,0.4242761
1.3,584918.4196697866,3998572.637725246,5892.011,128.14668,0.47101107
1.4,584989.1303479053,3998501.9270471274,5885.8257,128.06007,0.46422637
1.5,585059.8410260241,3998431.216369009,5877.9497,128.32472,0.4558694
1.6,585130.5517041427,3998360.5056908904,5867.275,110.81292,0.34092218
1.7,585201.9506889743,3998290.499512722,5858.0474,115.37171,0.30726543
1.8,585274.2862433888,3998221.4519380536,5846.156,104.9026,0.30312046
1.9,585346.6217978032,3998152.4043633854,5829.288,95.559875,0.4015638
2.0,585419.1509457761,3998083.565649596,5808.999,105.14447,0.42192543
2.1,585493.4803604009,3998016.6691764337,5798.062,107.78595,0.37093246
2.2,585567.8097750256,3997949.7727032714,5777.5293,113.78222,0.36177525
2.3,585642.5233531438,3997883.319777015,5769.5996,113.78222,0.36639968
2.4,585719.3454811033,3997819.3013370484,5769.4907,122.02484,0.4094498
2.5,585796.1676090627,3997755.2828970817,5758.2783,127.99979,0.41980904
