distance_km,year,onset_date,onset_doy
0.0,2018,2018-03-08,67
0.1,2018,2018-03-08,67
0.3,2018,2018-05-07,127
0.6,2018,2018-03-20,79
0.9,2018,2018-03-08,67
1.0,2018,2018-05-07,127
1.1,2018,2018-03-08,67
1.2,2018,2018-03-20,79
1.3,2018,2018-03-20,79
1.4,2018,2018-03-20,79
1.5,2018,2018-03-08,67
1.6,2018,2018-03-08,67
1.7,2018,2018-03-08,67
1.8,2018,2018-04-13,103
1.9,2018,2018-03-20,79
2.4,2018,2018-05-31,151
2.6,2018,2018-05-19,139
2.7,2018,2018-03-08,67
2.8,2018,2018-05-07,127
3.2,2018,2018-04-13,103
3.3,2018,2018-05-07,127
3.5,2018,2018-03-08,67
3.6,2018,2018-03-08,67
3.7,2018,2018-03-20,79
3.8,2018,2018-05-07,127
3.9,2018,2018-03-08,67
4.0,2018,2018-03-08,67
4.1,2018,2018-03-08,67
4.2,2018,2018-03-08,67
4.9,2018,2018-05-31,151
5.1,2018,2018-03-08,67
5.9,2018,2018-05-07,127
6.0,2018,2018-05-07,127
6.1,2018,2018-05-07,127
6.2,2018,2018-05-07,127
6.3,2018,2018-04-13,103
6.4,2018,2018-03-08,67
6.5,2018,2018-04-13,103
6.8,2018,2018-03-20,79
8.1,2018,2018-03-08,67
8.2,2018,2018-03-08,67
8.3,2018,2018-03-08,67
8.4,2018,2018-03-08,67
9.0,2018,2018-05-07,127
9.1,2018,2018-05-07,127
9.2,2018,2018-05-07,127
9.3,2018,2018-05-07,127
9.7,2018,2018-04-13,103
9.8,2018,2018-03-08,67
9.9,2018,2018-04-13,103
10.0,2018,2018-03-08,67
10.1,2018,2018-03-08,67
11.2,2018,2018-03-08,67
11.3,2018,2018-03-20,79
11.9,2018,2018-03-08,67
12.0,2018,2018-03-08,67
12.1,2018,2018-03-20,79
12.2,2018,2018-03-08,67
12.3,2018,2018-04-13,103
12.5,2018,2018-03-20,79
12.6,2018,2018-03-08,67
12.7,2018,2018-03-20,79
12.8,2018,2018-03-20,79
12.9,2018,2018-03-20,79
13.0,2018,2018-05-07,127
13.1,2018,2018-03-08,67
13.6,2018,2018-03-20,79
13.7,2018,2018-03-20,79
13.8,2018,2018-03-20,79
14.0,2018,2018-05-19,139
14.1,2018,2018-05-19,139
14.2,2018,2018-05-19,139
14.8,2018,2018-03-08,67
14.9,2018,2018-03-08,67
15.0,2018,2018-04-13,103
15.1,2018,2018-04-13,103
15.2,2018,2018-04-13,103
15.3,2018,2018-04-13,103
15.6,2018,2018-04-13,103
15.9,2018,2018-05-19,139
16.4,2018,2018-05-07,127
16.8,2018,2018-03-20,79
16.9,2018,2018-05-31,151
17.0,2018,2018-05-31,151
17.6,2018,2018-04-13,103
17.7,2018,2018-04-13,103
17.8,2018,2018-04-13,103
18.7,2018,2018-05-31,151
18.8,2018,2018-05-19,139
