distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,93.16666666666667,76.5,113.0,67,120,6,True
0.1,78.85714285714286,62.5,97.0,60,106,7,True
0.2,64.0,63.5,64.5,63,65,2,True
0.3,116.5,95.25,133.75,87,154,4,True
0.4,119.25,105.75,139.0,72,154,4,True
0.5,60.0,60.0,60.0,60,60,1,True
0.6,83.0,81.0,85.0,79,87,2,True
0.7,101.0,78.5,120.0,63,146,3,True
0.8,102.0,84.5,121.5,63,137,3,True
0.9,87.0,67.0,82.0,65,147,5,True
1.0,88.2,65.0,117.0,62,127,5,True
1.1,67.75,66.5,69.25,65,70,4,True
1.2,100.0,72.25,125.75,69,149,6,True
1.3,94.0,72.25,98.75,69,149,6,True
1.4,94.28571428571429,78.0,98.5,60,154,7,True
1.5,85.71428571428571,68.0,98.5,60,130,7,True
1.6,88.4,77.0,87.0,67,130,5,True
1.7,96.0,73.5,100.25,67,154,6,True
1.8,112.0,101.5,120.75,87,142,6,True
1.9,99.0,75.5,118.5,65,141,4,True
2.0,104.2,87.0,117.0,70,158,5,True
2.1,92.6,75.0,96.0,69,134,5,True
2.2,94.83333333333333,78.5,112.5,69,122,6,True
2.3,95.25,87.75,102.5,69,122,4,True
2.4,109.5,89.25,129.25,69,151,4,True
2.5,127.6,120.0,161.0,69,166,5,True
2.6,92.25,72.75,100.0,69,139,4,True
2.7,84.0,69.25,88.5,67,122,6,True
2.8,105.66666666666667,87.5,124.5,70,144,6,True
2.9,90.66666666666667,86.5,94.0,84,99,3,True
3.0,102.83333333333333,90.0,107.25,62,166,6,True
3.1,78.2,63.0,89.0,60,93,5,True
3.2,102.5,90.25,116.25,60,137,6,True
3.3,116.0,105.25,123.0,101,146,6,True
3.4,117.6,94.0,144.0,81,146,5,True
3.5,98.0,82.25,118.75,67,125,6,True
3.6,80.57142857142857,65.0,90.0,60,125,7,True
3.7,93.16666666666667,67.0,117.25,60,146,6,True
3.8,97.16666666666667,67.5,121.75,60,146,6,True
3.9,75.5,67.5,76.25,60,106,6,True
4.0,75.5,67.5,76.25,60,106,6,True
4.1,69.0,67.0,70.0,65,74,5,True
4.2,86.0,69.25,76.25,67,159,6,True
4.3,79.0,74.0,84.0,69,89,2,True
4.4,69.0,69.0,69.0,69,69,1,True
4.5,69.0,69.0,69.0,69,69,1,True
4.6,93.5,81.25,105.75,69,118,2,True
4.7,83.0,65.5,93.5,62,118,3,True
4.8,121.0,102.5,146.5,70,158,3,True
4.9,98.33333333333333,72.0,116.5,62,151,3,True
5.0,79.0,70.5,87.5,62,96,2,True
5.1,92.25,65.75,100.5,62,159,4,True
5.2,99.66666666666667,83.5,118.5,62,132,3,True
5.4,82.0,82.0,82.0,82,82,1,True
5.5,82.5,71.25,93.75,60,105,2,True
5.6,61.5,60.75,62.25,60,63,2,True
5.7,80.5,72.75,88.25,65,96,2,True
5.8,92.66666666666667,77.5,102.0,74,123,3,True
5.9,85.25,69.75,88.0,69,127,4,True
6.0,85.25,69.75,88.0,69,127,4,True
6.1,90.0,71.25,100.25,69,127,6,True
6.2,87.8,70.0,98.0,69,127,5,True
6.3,83.0,70.0,98.0,69,103,5,True
6.4,89.25,86.5,98.25,67,99,4,True
6.5,114.25,93.5,133.75,65,166,4,True
6.6,84.66666666666667,74.5,96.0,62,105,3,True
6.7,84.66666666666667,74.5,96.0,62,105,3,True
6.8,105.2,87.0,105.0,79,166,5,True
6.9,126.5,106.75,146.25,87,166,2,True
7.0,126.5,106.75,146.25,87,166,2,True
7.1,96.33333333333333,90.5,103.5,82,108,3,True
7.2,96.33333333333333,90.5,103.5,82,108,3,True
7.3,79.5,69.75,89.25,60,99,2,True
7.4,106.5,83.25,129.75,60,153,2,True
7.5,85.4,63.0,98.0,60,137,5,True
7.6,103.2,63.0,129.0,60,166,5,True
7.7,112.66666666666667,92.5,137.5,63,153,3,True
7.8,97.0,61.5,131.0,60,137,4,True
7.9,93.66666666666667,80.5,109.5,62,120,3,True
8.0,92.0,85.5,102.0,72,105,3,True
8.1,102.6,86.0,117.0,67,147,5,True
8.2,94.0,65.75,114.25,62,142,4,True
8.3,104.0,67.0,142.0,62,144,5,True
8.4,83.16666666666667,67.75,98.25,62,105,6,True
8.5,89.25,68.0,96.75,62,144,4,True
8.6,93.6,81.0,96.0,70,134,5,True
8.7,99.8,81.0,120.0,75,134,5,True
8.8,96.83333333333333,87.5,112.5,69,122,6,True
8.9,80.6,69.0,96.0,65,98,5,True
9.0,94.33333333333333,74.0,115.5,63,127,6,True
9.1,86.33333333333333,66.0,98.0,63,127,3,True
9.2,109.4,98.0,127.0,69,154,5,True
9.3,86.0,65.5,98.0,62,127,3,True
9.4,62.0,62.0,62.0,62,62,1,True
9.5,108.66666666666667,86.5,131.5,63,153,3,True
9.6,103.75,81.5,120.75,65,153,4,True
9.7,103.8,87.0,122.0,65,142,5,True
9.8,79.25,64.5,80.75,63,122,4,True
9.9,94.0,65.0,117.0,63,122,5,True
10.0,82.25,66.0,90.75,63,117,4,True
10.1,99.0,77.5,112.5,67,147,4,True
10.2,65.0,65.0,65.0,65,65,1,True
10.3,86.5,75.75,97.25,65,108,2,True
10.4,93.5,79.25,107.75,65,122,2,True
10.5,81.33333333333333,69.5,89.5,65,105,3,True
10.6,83.5,82.25,84.75,81,86,2,True
10.7,81.33333333333333,75.5,89.5,65,93,3,True
10.8,86.8,70.0,74.0,65,153,5,True
10.9,101.2,62.0,153.0,60,154,5,True
11.0,98.83333333333333,72.25,116.25,60,153,6,True
11.1,97.4,65.0,134.0,60,153,5,True
11.2,88.2,63.0,110.0,60,141,5,True
11.3,84.33333333333333,77.5,90.75,63,110,6,True
11.4,80.6,63.0,93.0,60,110,5,True
11.5,105.5,84.75,122.25,60,159,4,True
11.6,120.5,87.75,158.25,72,159,4,True
11.7,96.83333333333333,73.5,105.75,63,161,6,True
11.8,85.4,77.0,93.0,63,110,5,True
11.9,71.6,63.0,70.0,62,96,5,True
12.0,71.0,66.0,73.5,63,84,4,True
12.1,81.2,70.0,96.0,63,98,5,True
12.2,85.5,72.75,97.5,67,101,6,True
12.3,93.33333333333333,88.5,99.5,81,103,3,True
12.4,104.5,91.25,119.25,62,144,4,True
12.5,87.16666666666667,79.75,98.25,62,105,6,True
12.6,89.16666666666667,70.5,98.25,62,130,6,True
12.7,81.16666666666667,72.25,92.25,62,99,6,True
12.8,73.4,63.0,81.0,62,82,5,True
12.9,107.0,81.0,135.0,79,158,5,True
13.0,118.33333333333333,104.5,136.5,82,146,3,True
13.1,95.25,68.5,110.75,67,146,4,True
13.2,95.0,77.25,103.25,63,146,4,True
13.3,109.75,82.5,142.25,63,146,4,True
13.4,118.75,82.5,159.75,63,165,4,True
13.5,83.0,63.0,89.0,62,129,5,True
13.6,97.8,63.0,132.0,62,153,5,True
13.7,110.25,75.0,147.75,63,153,4,True
13.8,101.16666666666667,72.25,130.5,63,165,6,True
13.9,99.33333333333333,72.5,117.5,63,153,3,True
14.0,125.25,119.25,142.5,75,153,4,True
14.1,129.0,134.0,139.0,84,153,5,True
14.2,117.16666666666667,87.5,138.0,70,153,6,True
14.3,126.0,118.0,148.5,70,153,4,True
14.4,127.0,120.0,137.5,106,141,3,True
14.5,75.0,69.5,78.0,69,86,3,True
14.6,132.0,130.0,158.0,69,159,5,True
14.7,144.0,138.25,149.75,130,158,4,True
14.8,93.16666666666667,67.5,118.75,60,158,6,True
14.9,95.16666666666667,71.0,121.5,67,144,6,True
15.0,104.57142857142857,75.5,130.0,60,158,7,True
15.1,116.57142857142857,92.0,139.5,70,158,7,True
15.2,127.16666666666667,111.0,150.75,70,158,6,True
15.3,109.16666666666667,81.25,131.25,70,153,6,True
15.4,105.6,74.0,135.0,70,144,5,True
15.5,96.0,73.0,112.5,70,135,4,True
15.6,124.25,104.5,139.75,103,154,4,True
15.7,131.5,127.5,142.5,105,144,4,True
15.8,130.33333333333334,123.5,143.0,105,144,3,True
15.9,132.5,130.5,142.5,105,144,4,True
16.0,143.25,138.75,147.5,129,158,4,True
16.1,140.25,129.75,147.5,129,158,4,True
16.2,131.0,117.5,144.0,105,158,3,True
16.3,128.25,117.75,147.5,81,158,4,True
16.4,134.0,122.0,142.5,117,158,3,True
16.5,96.0,85.5,106.5,75,117,2,True
16.6,107.33333333333333,102.5,111.5,99,117,3,True
16.7,107.33333333333333,102.5,111.5,99,117,3,True
16.8,112.4,99.0,130.0,79,137,5,True
16.9,140.57142857142858,132.0,147.5,129,159,7,True
17.0,124.0,111.25,138.25,94,151,4,True
17.1,120.4,106.0,137.0,81,144,5,True
17.2,118.0,106.0,134.0,81,137,5,True
17.3,132.5,120.75,153.25,81,166,4,True
17.4,121.33333333333333,109.0,141.5,81,146,3,True
17.5,115.6,89.0,146.0,81,154,5,True
17.6,119.25,97.5,140.75,81,158,4,True
17.7,107.75,87.0,116.75,81,158,4,True
17.8,107.0,89.0,108.0,81,154,5,True
17.9,111.0,92.0,119.5,89,154,4,True
18.0,127.8,108.0,153.0,89,159,5,True
18.1,132.75,119.75,154.5,89,159,4,True
18.2,141.0,125.0,160.5,110,165,4,True
18.3,135.0,116.0,154.5,110,159,4,True
18.4,126.0,116.0,130.5,110,153,4,True
18.5,138.0,116.0,160.5,110,165,4,True
18.6,131.0,116.0,147.5,110,149,4,True
18.7,131.5,116.0,148.0,110,151,4,True
18.8,132.5,117.25,146.25,106,149,6,True
18.9,132.0,113.5,148.0,106,151,7,True
19.0,121.16666666666667,108.75,121.5,103,159,6,True
19.1,123.42857142857143,110.0,135.5,94,159,7,True
19.2,120.0,91.5,152.0,60,159,7,True
19.3,118.28571428571429,85.5,152.0,60,159,7,True
19.4,118.28571428571429,85.5,148.5,60,159,7,True
19.5,116.57142857142857,79.5,148.5,60,159,7,True
19.6,104.57142857142857,68.5,143.5,60,159,7,True
19.7,102.85714285714286,74.5,138.0,60,146,7,True
19.8,111.42857142857143,92.5,133.0,60,146,7,True
19.9,108.0,67.5,146.75,65,154,6,True
20.0,101.14285714285714,72.0,126.0,60,147,7,True
20.1,101.14285714285714,72.0,131.5,60,159,7,True
20.2,90.85714285714286,72.0,108.0,60,134,7,True
20.3,80.57142857142857,67.5,86.0,60,123,7,True
20.4,91.16666666666667,72.25,113.75,60,129,6,True
20.5,92.57142857142857,66.0,114.5,60,141,7,True
20.6,106.28571428571429,97.0,125.0,60,134,7,True
20.7,102.83333333333333,83.75,126.75,60,147,6,True
20.8,108.0,85.5,137.0,60,146,7,True
20.9,99.42857142857143,85.5,114.0,60,139,7,True
21.0,107.16666666666667,87.75,126.0,60,146,6,True
21.1,97.16666666666667,70.75,118.5,60,146,6,True
21.2,97.16666666666667,70.75,118.5,60,146,6,True
21.3,81.16666666666667,63.25,97.75,60,105,6,True
21.4,92.57142857142857,78.0,106.5,62,123,7,True
21.5,82.28571428571429,64.5,96.5,60,105,7,True
21.6,87.42857142857143,81.5,96.5,62,105,7,True
21.7,87.42857142857143,74.5,97.0,62,123,7,True
21.8,111.16666666666667,104.25,121.5,70,146,6,True
21.9,97.16666666666667,78.25,114.75,62,123,6,True
22.0,123.16666666666667,118.5,130.75,94,146,6,True
22.1,123.16666666666667,124.0,131.25,82,146,6,True
22.2,123.42857142857143,115.5,137.5,70,161,7,True
22.3,114.85714285714286,104.5,128.0,82,137,7,True
22.4,99.42857142857143,74.5,118.5,62,137,7,True
22.5,114.85714285714286,110.5,123.5,82,137,7,True
22.6,120.0,114.0,129.5,82,151,7,True
22.7,120.0,114.0,135.5,70,151,7,True
22.8,128.57142857142858,115.5,152.0,70,158,7,True
22.9,126.85714285714286,115.5,144.0,82,153,7,True
23.0,125.66666666666667,113.25,147.5,82,153,6,True
23.1,117.66666666666667,106.5,132.75,82,151,6,True
23.2,115.66666666666667,102.0,131.25,82,151,6,True
23.3,109.66666666666667,102.0,117.75,82,139,6,True
23.4,114.83333333333333,105.25,117.75,101,146,6,True
23.5,113.14285714285714,108.5,123.5,65,146,7,True
23.6,106.28571428571429,74.5,127.0,62,159,7,True
23.7,106.28571428571429,74.5,127.0,62,159,7,True
