distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-07-30,211,0.16442078351974487
0.1,2018,2018-09-16,259,0.259040892124176
0.2,2018,2018-09-28,271,1.2993086576461792
0.3,2018,2018-05-19,139,0.7938466668128967
0.4,2018,2018-07-30,211,1.6175718307495117
0.5,2018,2018-07-30,211,1.5605666637420654
0.6,2018,2018-09-28,271,1.2499445676803589
0.7,2018,2018-03-20,79,1.0026434659957886
0.8,2018,2018-09-28,271,0.8421506881713867
0.9,2018,2018-09-28,271,0.31931447982788086
1.0,2018,2018-05-19,139,0.37963107228279114
1.1,2018,2018-08-23,235,0.3147214651107788
1.2,2018,2018-06-24,175,0.427592009305954
1.3,2018,2018-09-04,247,0.3671688139438629
1.4,2018,2018-09-04,247,0.32283511757850647
1.5,2018,2018-09-04,247,0.3151855766773224
1.6,2018,2018-06-24,175,0.3155063986778259
1.7,2018,2018-09-16,259,0.31917768716812134
1.8,2018,2018-04-13,103,0.5305139422416687
1.9,2018,2018-03-20,79,0.8958016037940979
2.0,2018,2018-05-31,151,0.5153776407241821
2.1,2018,2018-08-23,235,0.7344000339508057
2.2,2018,2018-09-16,259,1.0213241577148438
2.3,2018,2018-09-16,259,1.090809941291809
2.4,2018,2018-09-04,247,0.34243544936180115
2.5,2018,2018-07-18,199,0.8203694820404053
2.6,2018,2018-06-24,175,0.7362247705459595
2.7,2018,2018-07-18,199,0.4374120235443115
2.8,2018,2018-07-18,199,0.464201420545578
2.9,2018,2018-07-18,199,0.4413270950317383
3.0,2018,2018-09-04,247,0.351933091878891
3.1,2018,2018-06-24,175,0.6565165519714355
3.2,2018,2018-07-30,211,0.3937099575996399
3.3,2018,2018-10-10,283,0.2974913716316223
3.4,2018,2018-05-31,151,0.2844591736793518
3.5,2018,2018-10-22,295,0.2550244927406311
3.6,2018,2018-09-16,259,0.36347511410713196
3.7,2018,2018-08-23,235,0.21304768323898315
3.8,2018,2018-09-16,259,0.2822331190109253
3.9,2018,2018-05-31,151,0.46193310618400574
4.0,2018,2018-05-31,151,0.48831766843795776
4.1,2018,2018-06-24,175,0.6048681139945984
4.2,2018,2018-06-24,175,0.621071457862854
4.3,2018,2018-05-19,139,0.4462490677833557
4.4,2018,2018-09-04,247,0.47294971346855164
4.5,2018,2018-10-10,283,0.6079543232917786
4.6,2018,2018-10-10,283,1.0992792844772339
4.7,2018,2018-09-04,247,1.618383765220642
4.8,2018,2018-09-04,247,1.8704780340194702
4.9,2018,2018-06-24,175,2.7375717163085938
5.0,2018,2018-09-16,259,3.2476065158843994
5.1,2018,2018-05-07,127,2.3960204124450684
5.2,2018,2018-08-23,235,1.8004088401794434
5.3,2018,2018-03-20,79,2.2659475803375244
