distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,186.85714285714286,151.5,219.5,7,True
0.1,226.28571428571428,216.5,256.5,7,True
0.2,214.28571428571428,175.5,262.5,7,True
0.3,171.42857142857142,143.0,189.5,7,True
0.4,185.14285714285714,156.0,215.0,7,True
0.5,169.71428571428572,163.0,192.5,7,True
0.6,166.28571428571428,118.0,210.0,7,True
0.7,197.14285714285714,157.0,252.5,7,True
0.8,183.42857142857142,127.0,248.5,7,True
0.9,221.14285714285714,173.0,281.5,7,True
1.0,168.0,149.0,173.5,7,True
1.1,161.14285714285714,94.0,208.5,7,True
1.2,210.85714285714286,179.0,257.5,7,True
1.3,207.42857142857142,162.5,254.0,7,True
1.4,226.28571428571428,207.5,246.0,7,True
1.5,229.71428571428572,209.0,248.0,7,True
1.6,209.14285714285714,164.0,259.5,7,True
1.7,188.57142857142858,159.5,219.5,7,True
1.8,205.71428571428572,186.0,235.0,7,True
1.9,162.85714285714286,148.5,183.5,7,True
2.0,164.57142857142858,147.5,202.0,7,True
2.1,140.57142857142858,97.5,180.0,7,True
2.2,157.71428571428572,96.0,230.5,7,True
2.3,188.57142857142858,93.5,262.5,7,True
2.4,161.14285714285714,107.5,211.5,7,True
2.5,130.28571428571428,84.0,181.5,7,True
2.6,174.85714285714286,127.0,222.0,7,True
2.7,120.0,73.0,152.5,7,True
2.8,188.57142857142858,132.0,240.0,7,True
2.9,154.28571428571428,100.5,191.0,7,True
3.0,192.0,117.5,269.0,7,True
3.1,145.71428571428572,91.0,179.0,7,True
3.2,183.42857142857142,157.0,222.0,7,True
3.3,176.57142857142858,147.5,191.0,7,True
3.4,142.28571428571428,85.0,197.0,7,True
3.5,200.57142857142858,150.0,253.0,7,True
3.6,245.14285714285714,236.5,260.0,7,True
3.7,176.57142857142858,147.5,217.0,7,True
3.8,205.71428571428572,190.0,217.0,7,True
3.9,212.57142857142858,170.5,258.0,7,True
4.0,197.14285714285714,164.0,236.5,7,True
4.1,197.14285714285714,176.0,226.0,7,True
4.2,205.71428571428572,184.5,235.0,7,True
4.3,145.71428571428572,84.0,194.5,7,True
4.4,166.28571428571428,82.0,248.5,7,True
4.5,171.42857142857142,82.0,266.5,7,True
4.6,186.85714285714286,115.0,260.5,7,True
4.7,186.85714285714286,103.5,248.0,7,True
4.8,216.0,185.5,242.5,7,True
4.9,195.42857142857142,173.0,237.5,7,True
5.0,178.28571428571428,120.0,238.5,7,True
5.1,210.85714285714286,172.5,253.5,7,True
5.2,205.71428571428572,159.5,259.5,7,True
5.3,137.14285714285714,86.5,152.5,7,True
5.4,193.71428571428572,144.0,245.0,7,True
5.5,219.42857142857142,210.0,256.5,7,True
5.6,154.28571428571428,89.0,198.0,7,True
5.7,200.57142857142858,182.5,238.5,7,True
5.8,154.28571428571428,106.5,207.5,7,True
5.9,162.85714285714286,111.5,218.5,7,True
6.0,173.14285714285714,120.0,222.0,7,True
6.1,185.14285714285714,158.5,228.0,7,True
6.2,173.14285714285714,78.5,262.5,7,True
6.3,147.42857142857142,80.5,180.0,7,True
