s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,656475.1058229152,3952649.0142870843,7034.2476,33.00953,0.09075849
0.1,656575.1058229152,3952649.0142870853,6948.363,26.186522,0.14156932
0.2,656670.818201002,3952624.3303844826,6839.9834,24.720873,0.5227538
0.3,656750.2754868771,3952564.168943295,6850.1665,30.561422,0.57183254
0.4,656815.7863366804,3952488.748812284,6760.8184,30.570465,0.5951184
0.5,656871.1557184197,3952405.5446844487,6678.5957,35.60383,0.6667428
0.6,656924.3110760842,3952320.861026706,6724.231,37.535633,0.5378271
0.7,656981.2631650701,3952238.6786761084,6720.212,36.466938,0.43158966
0.8,657041.9294871823,3952159.1948741544,6712.478,38.021374,0.34250376
0.9,657105.4764912038,3952081.996599595,6735.156,38.84095,0.22630246
1.0,657171.6250907654,3952007.0130271656,6752.566,38.434383,0.14115822
1.1,657240.1207692325,3951934.1623793016,6711.635,40.89415,0.13984099
1.2,657310.9100579369,3951863.5402465984,6743.583,42.882442,0.1473363
1.3,657385.2982201139,3951796.744067688,6751.1606,38.616863,0.13341135
1.4,657464.0776024356,3951735.2248417926,6774.391,41.83222,0.120002635
1.5,657549.5710550875,3951683.640737959,6801.1343,43.594265,0.11863765
1.6,657643.709984097,3951651.4400510737,6816.0327,44.14972,0.12734069
1.7,657741.8006398126,3951636.8365025125,6742.56,45.40156,0.14890161
1.8,657826.6840895601,3951585.1725098165,6667.4985,44.862785,0.20463644
1.9,657896.0291265028,3951513.4453250053,6656.7905,44.084946,0.2516353
2.0,657954.7409269977,3951432.57287227,6661.9766,45.28828,0.3018768
2.1,658008.0748125134,3951348.0645748274,6692.3184,44.73357,0.33256704
2.2,658068.2208134553,3951268.220417599,6749.0674,46.861897,0.35546568
2.3,658132.1621863932,3951191.3544351803,6699.1445,44.631767,0.36089766
2.4,658198.4460554963,3951116.4782126746,6641.408,46.15117,0.35033765
2.5,658266.9272025577,3951043.6077135084,6628.035,44.47895,0.3153185
2.6,658336.3404873094,3950971.6326683653,6607.8145,42.322803,0.30066448
2.7,658406.5750153491,3950900.4490250824,6599.343,36.370018,0.30056807
2.8,658477.9605832236,3950830.4225803763,6625.644,40.276268,0.29268584
2.9,658549.555993188,3950760.6084228815,6595.5303,40.57257,0.2795375
3.0,658622.1715578443,3950691.85538826,6610.4995,43.656406,0.2666279
3.1,658694.7985928541,3950623.1146230698,6622.3613,39.251186,0.250843
3.2,658768.2789373171,3950555.2866127966,6701.523,42.909035,0.17294449
3.3,658841.7592817801,3950487.458602524,6634.799,47.34101,0.10491452
3.4,658911.4665076892,3950415.8082611864,6666.656,47.520683,0.10692865
3.5,658980.2409724799,3950343.2129927957,6721.4277,45.909145,0.12722975
3.6,659044.5470727828,3950266.7054331526,6793.895,35.912968,0.11730774
3.7,659107.4192877271,3950188.9424304585,6849.098,37.79795,0.10722054
3.8,659163.8641056452,3950106.4540638737,6856.484,49.33678,0.117073245
3.9,659218.2112797316,3950022.584418206,6856.484,50.628895,0.12750189
4.0,659264.4678804015,3949933.9259335897,6771.4463,49.942738,0.17562482
4.1,659305.0905262935,3949842.7567041335,6756.322,47.934578,0.19633089
