distance_km,year,onset_date,onset_doy
16.7,2017,2017-04-06,96
16.8,2017,2017-04-06,96
16.9,2017,2017-04-06,96
17.0,2017,2017-03-01,60
17.1,2017,2017-03-01,60
17.7,2017,2017-05-12,132
17.8,2017,2017-05-12,132
17.9,2017,2017-04-30,120
18.0,2017,2017-04-30,120
18.1,2017,2017-04-30,120
18.2,2017,2017-04-30,120
18.3,2017,2017-04-30,120
18.4,2017,2017-04-30,120
18.7,2017,2017-05-12,132
18.8,2017,2017-04-30,120
18.9,2017,2017-03-01,60
19.0,2017,2017-03-01,60
19.1,2017,2017-03-25,84
19.2,2017,2017-04-30,120
19.3,2017,2017-05-12,132
19.9,2017,2017-05-12,132
20.0,2017,2017-05-12,132
20.1,2017,2017-05-12,132
20.2,2017,2017-05-12,132
20.3,2017,2017-05-12,132
20.4,2017,2017-05-12,132
20.5,2017,2017-05-12,132
20.6,2017,2017-04-30,120
20.7,2017,2017-04-30,120
20.8,2017,2017-04-30,120
20.9,2017,2017-04-30,120
21.0,2017,2017-04-30,120
21.1,2017,2017-04-30,120
21.2,2017,2017-04-30,120
21.3,2017,2017-05-12,132
21.4,2017,2017-05-12,132
21.5,2017,2017-05-12,132
21.6,2017,2017-05-12,132
21.7,2017,2017-05-12,132
21.8,2017,2017-05-12,132
21.9,2017,2017-04-30,120
22.0,2017,2017-03-25,84
22.1,2017,2017-03-25,84
22.2,2017,2017-03-25,84
22.3,2017,2017-03-25,84
22.4,2017,2017-03-25,84
22.5,2017,2017-04-30,120
22.6,2017,2017-04-30,120
22.7,2017,2017-04-30,120
22.8,2017,2017-04-30,120
22.9,2017,2017-04-30,120
23.0,2017,2017-04-30,120
23.1,2017,2017-04-30,120
23.2,2017,2017-03-25,84
23.3,2017,2017-04-30,120
23.4,2017,2017-04-30,120
23.5,2017,2017-04-30,120
23.6,2017,2017-04-30,120
23.7,2017,2017-04-30,120
23.8,2017,2017-04-30,120
24.1,2017,2017-04-18,108
24.2,2017,2017-04-18,108
24.3,2017,2017-04-30,120
24.4,2017,2017-04-30,120
24.5,2017,2017-04-30,120
24.6,2017,2017-04-30,120
24.7,2017,2017-04-30,120
24.8,2017,2017-04-30,120
24.9,2017,2017-04-30,120
25.0,2017,2017-04-30,120
25.1,2017,2017-04-30,120
25.2,2017,2017-04-30,120
25.3,2017,2017-06-05,156
25.4,2017,2017-04-18,108
25.5,2017,2017-04-18,108
25.6,2017,2017-04-06,96
25.7,2017,2017-04-06,96
25.8,2017,2017-04-30,120
25.9,2017,2017-04-30,120
26.0,2017,2017-04-30,120
26.1,2017,2017-04-30,120
26.2,2017,2017-04-30,120
26.3,2017,2017-04-30,120
26.4,2017,2017-04-30,120
26.5,2017,2017-04-30,120
26.6,2017,2017-04-30,120
26.7,2017,2017-04-30,120
26.8,2017,2017-04-30,120
26.9,2017,2017-04-30,120
27.0,2017,2017-04-30,120
27.1,2017,2017-04-30,120
27.2,2017,2017-04-30,120
27.3,2017,2017-04-30,120
27.4,2017,2017-04-30,120
27.5,2017,2017-04-30,120
27.6,2017,2017-04-30,120
27.7,2017,2017-05-12,132
27.8,2017,2017-04-30,120
27.9,2017,2017-05-12,132
28.0,2017,2017-05-12,132
28.1,2017,2017-04-30,120
28.2,2017,2017-04-30,120
28.3,2017,2017-04-30,120
28.4,2017,2017-04-30,120
28.5,2017,2017-04-30,120
28.6,2017,2017-04-30,120
28.7,2017,2017-04-30,120
28.8,2017,2017-04-30,120
28.9,2017,2017-04-30,120
29.0,2017,2017-04-30,120
29.1,2017,2017-04-30,120
29.2,2017,2017-04-30,120
29.3,2017,2017-04-30,120
29.4,2017,2017-04-30,120
29.5,2017,2017-04-30,120
29.6,2017,2017-04-30,120
29.7,2017,2017-04-30,120
29.8,2017,2017-04-30,120
29.9,2017,2017-04-30,120
30.0,2017,2017-04-30,120
30.1,2017,2017-04-30,120
30.2,2017,2017-04-30,120
30.3,2017,2017-04-30,120
30.4,2017,2017-04-30,120
30.5,2017,2017-04-30,120
30.6,2017,2017-04-30,120
30.7,2017,2017-04-30,120
30.8,2017,2017-04-30,120
30.9,2017,2017-04-30,120
31.0,2017,2017-04-30,120
31.1,2017,2017-04-30,120
31.2,2017,2017-04-30,120
31.3,2017,2017-04-30,120
31.4,2017,2017-04-30,120
31.5,2017,2017-04-30,120
31.6,2017,2017-04-30,120
31.7,2017,2017-04-30,120
31.8,2017,2017-04-06,96
31.9,2017,2017-04-06,96
32.0,2017,2017-04-06,96
32.1,2017,2017-04-06,96
32.2,2017,2017-04-30,120
32.3,2017,2017-04-30,120
32.4,2017,2017-04-30,120
32.5,2017,2017-04-30,120
32.6,2017,2017-04-30,120
32.7,2017,2017-04-30,120
32.8,2017,2017-04-30,120
32.9,2017,2017-04-30,120
33.0,2017,2017-04-30,120
33.1,2017,2017-04-30,120
33.2,2017,2017-04-30,120
33.3,2017,2017-04-30,120
33.4,2017,2017-04-30,120
33.5,2017,2017-04-18,108
33.6,2017,2017-04-18,108
33.7,2017,2017-04-18,108
33.8,2017,2017-04-18,108
33.9,2017,2017-04-18,108
34.0,2017,2017-04-30,120
34.1,2017,2017-04-30,120
34.2,2017,2017-04-30,120
34.3,2017,2017-04-30,120
34.7,2017,2017-04-18,108
34.8,2017,2017-04-18,108
34.9,2017,2017-03-01,60
35.0,2017,2017-03-01,60
35.1,2017,2017-03-01,60
35.2,2017,2017-03-01,60
35.3,2017,2017-03-01,60
35.4,2017,2017-04-06,96
35.5,2017,2017-04-06,96
35.6,2017,2017-04-06,96
35.7,2017,2017-04-06,96
35.9,2017,2017-03-25,84
36.4,2017,2017-03-25,84
36.5,2017,2017-03-25,84
36.6,2017,2017-03-25,84
36.7,2017,2017-03-25,84
36.8,2017,2017-04-06,96
37.4,2017,2017-03-25,84
37.5,2017,2017-03-25,84
37.6,2017,2017-03-25,84
37.7,2017,2017-03-01,60
37.8,2017,2017-03-01,60
37.9,2017,2017-03-01,60
38.0,2017,2017-03-01,60
38.1,2017,2017-03-13,72
38.2,2017,2017-03-13,72
38.3,2017,2017-03-13,72
38.4,2017,2017-03-13,72
38.5,2017,2017-03-13,72
38.6,2017,2017-03-13,72
38.7,2017,2017-03-13,72
38.8,2017,2017-03-13,72
38.9,2017,2017-03-13,72
39.0,2017,2017-03-13,72
39.08,2017,2017-03-13,72
0.0,2018,2018-03-08,67
0.1,2018,2018-03-08,67
0.2,2018,2018-03-08,67
2.1,2018,2018-05-07,127
2.5,2018,2018-05-07,127
3.5,2018,2018-03-08,67
3.6,2018,2018-05-07,127
5.5,2018,2018-03-08,67
6.0,2018,2018-05-07,127
6.9,2018,2018-05-07,127
7.3,2018,2018-03-08,67
7.4,2018,2018-03-08,67
7.5,2018,2018-03-08,67
7.6,2018,2018-05-07,127
7.7,2018,2018-03-08,67
7.8,2018,2018-03-08,67
7.9,2018,2018-03-08,67
8.0,2018,2018-03-08,67
8.3,2018,2018-05-07,127
8.4,2018,2018-05-07,127
9.7,2018,2018-05-07,127
10.1,2018,2018-05-07,127
10.5,2018,2018-03-08,67
10.6,2018,2018-03-08,67
10.8,2018,2018-03-08,67
12.1,2018,2018-05-07,127
12.6,2018,2018-05-07,127
12.9,2018,2018-05-07,127
13.3,2018,2018-03-08,67
13.4,2018,2018-03-08,67
13.5,2018,2018-03-08,67
13.6,2018,2018-03-08,67
13.7,2018,2018-03-08,67
13.8,2018,2018-03-08,67
13.9,2018,2018-03-08,67
14.0,2018,2018-03-08,67
14.1,2018,2018-03-08,67
14.9,2018,2018-03-08,67
15.0,2018,2018-03-08,67
15.1,2018,2018-03-08,67
15.2,2018,2018-05-07,127
15.5,2018,2018-05-07,127
15.9,2018,2018-03-08,67
16.0,2018,2018-03-08,67
16.1,2018,2018-03-08,67
16.3,2018,2018-05-07,127
16.4,2018,2018-05-31,151
16.5,2018,2018-05-07,127
16.6,2018,2018-03-08,67
16.7,2018,2018-03-08,67
16.8,2018,2018-05-07,127
16.9,2018,2018-05-19,139
17.0,2018,2018-05-07,127
17.1,2018,2018-05-19,139
17.2,2018,2018-05-19,139
17.4,2018,2018-03-20,79
17.5,2018,2018-04-25,115
17.6,2018,2018-05-31,151
17.7,2018,2018-05-31,151
17.8,2018,2018-05-31,151
17.9,2018,2018-05-31,151
18.0,2018,2018-05-31,151
18.1,2018,2018-05-31,151
18.2,2018,2018-05-31,151
18.3,2018,2018-05-31,151
18.4,2018,2018-03-20,79
18.5,2018,2018-03-20,79
19.0,2018,2018-05-31,151
19.1,2018,2018-04-25,115
19.3,2018,2018-05-31,151
19.5,2018,2018-05-31,151
19.6,2018,2018-05-31,151
19.7,2018,2018-05-31,151
19.8,2018,2018-05-31,151
19.9,2018,2018-03-20,79
20.0,2018,2018-03-20,79
20.1,2018,2018-03-20,79
20.2,2018,2018-03-20,79
20.3,2018,2018-03-20,79
20.4,2018,2018-03-20,79
20.5,2018,2018-04-01,91
20.6,2018,2018-04-01,91
20.7,2018,2018-04-01,91
20.8,2018,2018-04-01,91
20.9,2018,2018-03-20,79
21.0,2018,2018-04-25,115
21.1,2018,2018-04-25,115
21.2,2018,2018-04-25,115
21.3,2018,2018-04-25,115
21.4,2018,2018-05-31,151
21.5,2018,2018-05-31,151
21.6,2018,2018-04-25,115
21.7,2018,2018-04-25,115
21.8,2018,2018-04-25,115
21.9,2018,2018-04-25,115
22.0,2018,2018-05-31,151
22.1,2018,2018-04-25,115
22.2,2018,2018-04-25,115
22.8,2018,2018-04-25,115
22.9,2018,2018-04-25,115
23.0,2018,2018-04-25,115
23.1,2018,2018-04-25,115
23.2,2018,2018-04-25,115
23.3,2018,2018-04-25,115
23.4,2018,2018-04-25,115
23.5,2018,2018-04-25,115
23.6,2018,2018-04-25,115
23.7,2018,2018-04-25,115
23.8,2018,2018-04-25,115
23.9,2018,2018-04-25,115
24.0,2018,2018-04-25,115
24.3,2018,2018-04-25,115
24.4,2018,2018-04-25,115
24.5,2018,2018-04-25,115
24.6,2018,2018-05-31,151
24.7,2018,2018-04-25,115
24.8,2018,2018-04-25,115
24.9,2018,2018-04-25,115
25.0,2018,2018-04-25,115
25.1,2018,2018-04-25,115
25.2,2018,2018-04-25,115
25.3,2018,2018-04-25,115
25.4,2018,2018-04-25,115
25.5,2018,2018-04-25,115
25.6,2018,2018-04-25,115
25.7,2018,2018-04-25,115
25.8,2018,2018-04-25,115
25.9,2018,2018-04-25,115
26.0,2018,2018-04-25,115
26.1,2018,2018-04-25,115
26.2,2018,2018-05-31,151
26.3,2018,2018-05-31,151
26.4,2018,2018-05-31,151
26.5,2018,2018-05-31,151
26.6,2018,2018-05-31,151
26.7,2018,2018-05-31,151
26.8,2018,2018-05-31,151
26.9,2018,2018-04-25,115
27.0,2018,2018-04-25,115
27.1,2018,2018-04-25,115
27.2,2018,2018-04-25,115
27.3,2018,2018-04-25,115
27.4,2018,2018-04-25,115
27.5,2018,2018-03-20,79
27.6,2018,2018-04-25,115
27.7,2018,2018-04-25,115
27.8,2018,2018-04-01,91
27.9,2018,2018-04-01,91
28.0,2018,2018-04-01,91
28.1,2018,2018-04-01,91
28.2,2018,2018-04-01,91
28.3,2018,2018-04-01,91
28.4,2018,2018-04-01,91
28.5,2018,2018-04-01,91
28.6,2018,2018-04-25,115
28.7,2018,2018-04-01,91
28.8,2018,2018-04-25,115
28.9,2018,2018-04-25,115
29.0,2018,2018-04-25,115
29.1,2018,2018-04-25,115
29.2,2018,2018-04-25,115
29.3,2018,2018-04-25,115
29.4,2018,2018-04-25,115
29.5,2018,2018-04-25,115
29.6,2018,2018-04-25,115
29.7,2018,2018-04-25,115
29.8,2018,2018-05-31,151
29.9,2018,2018-05-31,151
30.0,2018,2018-05-31,151
30.1,2018,2018-05-31,151
30.2,2018,2018-05-31,151
30.3,2018,2018-05-31,151
30.4,2018,2018-05-31,151
30.5,2018,2018-05-31,151
30.6,2018,2018-05-31,151
30.7,2018,2018-05-31,151
30.8,2018,2018-05-31,151
30.9,2018,2018-04-25,115
31.0,2018,2018-04-25,115
31.1,2018,2018-04-25,115
