distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,97.0,74.0,111.0,67,125,5,True
0.1,89.0,78.0,100.0,67,111,2,True
0.2,70.5,68.75,72.25,67,74,2,True
0.3,113.0,98.5,120.5,98,142,3,True
0.4,98.5,98.25,98.75,98,99,2,True
0.5,144.0,144.0,144.0,144,144,1,True
0.6,151.5,147.75,155.25,144,159,2,True
1.3,98.0,98.0,98.0,98,98,1,True
1.4,98.0,98.0,98.0,98,98,1,True
1.6,128.5,125.25,131.75,122,135,2,True
1.7,165.5,165.25,165.75,165,166,2,True
1.8,142.0,142.0,142.0,142,142,1,True
1.9,135.0,135.0,135.0,135,135,1,True
2.0,101.0,101.0,101.0,101,101,1,True
2.1,113.0,106.0,120.0,99,127,2,True
2.2,135.0,135.0,135.0,135,135,1,True
2.3,135.0,135.0,135.0,135,135,1,True
2.4,111.5,106.25,116.75,101,122,2,True
2.5,146.5,136.75,156.25,127,166,2,True
2.6,101.0,97.5,104.5,94,108,2,True
2.7,108.0,108.0,108.0,108,108,1,True
2.8,101.0,97.5,104.5,94,108,2,True
2.9,92.5,76.25,108.75,60,125,2,True
3.0,79.0,69.5,88.5,60,98,2,True
3.1,60.0,60.0,60.0,60,60,1,True
3.2,128.5,125.25,131.75,122,135,2,True
3.3,122.0,122.0,122.0,122,122,1,True
3.5,99.0,87.5,115.0,67,122,3,True
3.6,126.6,108.0,135.0,98,165,5,True
3.7,121.66666666666667,115.0,128.5,108,135,3,True
3.8,126.5,118.75,134.25,111,142,2,True
3.9,140.5,134.25,149.25,111,165,4,True
4.0,135.0,135.0,135.0,135,135,1,True
4.1,118.0,109.5,126.5,101,135,2,True
4.2,104.5,102.75,106.25,101,108,2,True
4.3,85.0,77.0,97.5,60,101,3,True
4.4,80.5,70.25,90.75,60,101,2,True
4.5,101.0,80.5,121.5,60,142,2,True
4.6,142.0,142.0,142.0,142,142,1,True
4.8,125.0,116.5,133.5,108,142,2,True
4.9,60.0,60.0,60.0,60,60,1,True
5.0,133.5,120.75,146.25,108,159,2,True
5.1,85.5,72.75,98.25,60,111,2,True
5.2,108.0,79.5,132.0,60,165,3,True
5.3,116.5,89.25,147.75,60,165,4,True
5.4,125.5,116.25,147.75,60,165,4,True
5.5,104.5,85.75,123.25,67,142,2,True
5.6,127.0,108.0,153.5,74,165,3,True
5.7,135.0,119.5,165.5,74,166,3,True
5.8,136.5,122.25,150.75,108,165,2,True
5.9,165.0,165.0,165.0,165,165,1,True
6.0,142.33333333333334,131.0,150.0,127,165,3,True
6.1,120.0,97.5,150.0,60,165,3,True
6.2,97.5,78.75,116.25,60,135,2,True
6.3,100.33333333333333,79.5,120.5,60,142,3,True
6.4,116.2,99.0,142.0,74,165,5,True
6.5,116.66666666666667,92.5,138.0,74,165,3,True
6.6,101.0,80.5,121.5,60,142,2,True
6.7,126.0,118.0,138.5,101,142,3,True
6.8,147.33333333333334,138.5,153.5,135,165,3,True
6.9,128.66666666666666,110.5,146.0,94,165,3,True
7.0,103.5,101.25,105.75,99,108,2,True
7.1,100.33333333333333,96.5,103.5,94,108,3,True
7.2,121.5,114.75,128.25,108,135,2,True
7.3,89.0,78.0,100.0,67,111,2,True
7.4,86.66666666666667,80.5,96.5,67,99,3,True
7.5,113.0,97.75,124.75,67,166,4,True
7.6,115.33333333333333,109.5,119.0,108,127,3,True
7.7,63.5,61.75,65.25,60,67,2,True
7.8,106.75,65.25,142.5,60,165,4,True
7.9,103.5,65.25,132.75,60,165,4,True
8.0,113.0,90.0,136.0,67,159,2,True
8.1,122.0,122.0,122.0,122,122,1,True
8.3,131.0,129.0,133.0,127,135,2,True
8.4,142.33333333333334,131.0,150.0,127,165,3,True
8.5,111.0,111.0,111.0,111,111,1,True
8.7,102.5,98.25,106.75,94,111,2,True
8.8,165.0,165.0,165.0,165,165,1,True
8.9,79.0,69.5,88.5,60,98,2,True
9.0,91.0,82.5,99.5,74,108,2,True
9.1,93.75,89.0,101.25,74,108,4,True
9.2,120.0,97.0,143.0,74,166,2,True
9.3,74.0,74.0,74.0,74,74,1,True
9.4,85.5,72.75,98.25,60,111,2,True
9.5,131.5,114.75,148.25,98,165,2,True
9.6,89.66666666666667,79.0,104.5,60,111,3,True
9.7,123.0,112.5,135.5,98,144,3,True
9.8,78.33333333333333,67.0,87.5,60,101,3,True
9.9,90.4,94.0,99.0,60,101,5,True
10.0,93.66666666666667,79.5,110.5,60,122,3,True
10.1,102.0,89.25,123.25,60,127,4,True
10.2,99.75,88.5,109.75,60,142,4,True
10.3,85.6,74.0,99.0,60,101,5,True
10.4,113.5,94.25,137.25,74,144,4,True
10.5,133.4,125.0,165.0,67,166,5,True
10.6,103.8,94.0,122.0,67,125,5,True
10.7,110.0,102.5,118.0,94,125,3,True
10.8,114.66666666666667,89.0,138.5,67,166,3,True
10.9,96.5,95.25,97.75,94,99,2,True
11.0,87.75,85.5,98.25,60,99,4,True
11.1,87.75,85.5,98.25,60,99,4,True
11.2,87.75,85.5,98.25,60,99,4,True
11.3,109.0,102.5,116.5,94,122,3,True
11.4,132.5,115.75,149.25,99,166,2,True
11.5,108.0,101.0,115.0,94,122,2,True
11.6,106.25,99.25,111.5,94,122,4,True
11.7,143.5,132.75,154.25,122,165,2,True
11.8,130.75,116.75,142.5,101,165,4,True
11.9,130.0,115.5,144.5,101,159,2,True
12.0,142.2,135.0,144.0,125,165,5,True
12.1,122.6,108.0,135.0,101,142,5,True
12.2,101.0,97.5,104.5,94,108,3,True
12.3,126.66666666666667,118.0,139.5,101,144,3,True
12.4,122.5,111.75,133.25,101,144,2,True
12.5,114.66666666666667,100.0,122.5,99,144,3,True
12.6,107.33333333333333,97.5,114.0,94,127,3,True
12.7,114.75,97.75,117.0,94,165,4,True
12.8,120.0,97.5,133.0,94,165,3,True
12.9,128.6,108.0,142.0,101,165,5,True
13.0,116.33333333333333,103.5,125.0,99,142,3,True
13.1,128.33333333333334,109.5,162.5,60,166,3,True
13.2,124.33333333333333,103.5,137.0,99,166,3,True
13.3,114.66666666666667,89.0,138.5,67,166,3,True
13.4,114.66666666666667,89.0,138.5,67,166,3,True
13.5,89.0,83.0,100.0,67,101,3,True
13.6,129.0,110.5,160.5,67,165,4,True
13.7,114.0,91.0,135.0,67,165,4,True
13.8,123.33333333333333,105.5,151.5,67,159,3,True
13.9,133.75,124.75,160.5,67,165,4,True
14.0,125.33333333333333,105.5,154.5,67,165,3,True
14.1,123.33333333333333,105.5,151.5,67,159,3,True
14.2,111.5,104.75,118.25,98,125,2,True
