distance_km,year,peak_date,peak_doy,peak_val
15.9,2017,2017-10-27,300,0.3101535141468048
16.0,2017,2017-10-27,300,0.45773887634277344
16.1,2017,2017-04-30,120,0.4255130887031555
16.2,2017,2017-06-05,156,0.41348543763160706
16.3,2017,2017-10-27,300,0.37704041600227356
16.4,2017,2017-04-30,120,0.923251211643219
16.5,2017,2017-06-29,180,0.5073890686035156
16.6,2017,2017-06-29,180,0.4832468330860138
16.7,2017,2017-06-29,180,0.4748866558074951
16.8,2017,2017-04-06,96,0.47290506958961487
16.9,2017,2017-06-29,180,0.49366000294685364
17.0,2017,2017-06-29,180,0.4851382374763489
17.1,2017,2017-04-30,120,0.6828444600105286
17.2,2017,2017-10-27,300,0.792365312576294
17.3,2017,2017-10-27,300,0.7248284816741943
17.4,2017,2017-10-27,300,0.7202838063240051
17.5,2017,2017-04-30,120,0.6428927183151245
17.6,2017,2017-10-15,288,0.5507873296737671
17.7,2017,2017-06-05,156,0.5095451474189758
17.8,2017,2017-06-05,156,0.42210450768470764
17.9,2017,2017-06-05,156,0.44298338890075684
18.0,2017,2017-04-30,120,0.4564315974712372
18.1,2017,2017-04-30,120,0.4542546272277832
18.2,2017,2017-05-12,132,0.4851873517036438
18.3,2017,2017-05-12,132,0.4851873517036438
18.4,2017,2017-05-12,132,0.43672534823417664
18.5,2017,2017-05-12,132,0.5784878730773926
18.6,2017,2017-05-12,132,0.5163757801055908
18.7,2017,2017-05-12,132,0.47111502289772034
18.8,2017,2017-05-12,132,0.36572468280792236
18.9,2017,2017-06-05,156,0.42498138546943665
19.0,2017,2017-06-05,156,0.5464746952056885
19.1,2017,2017-04-06,96,0.6561927199363708
19.2,2017,2017-06-05,156,0.6894088983535767
19.3,2017,2017-09-09,252,0.8414244651794434
19.4,2017,2017-05-12,132,0.8167279362678528
19.5,2017,2017-05-12,132,0.7566726803779602
19.6,2017,2017-05-12,132,0.7566726803779602
19.7,2017,2017-05-12,132,0.7276108264923096
19.8,2017,2017-05-12,132,0.710117518901825
19.9,2017,2017-05-12,132,0.688424289226532
20.0,2017,2017-06-29,180,0.6826618313789368
20.1,2017,2017-06-29,180,0.6826618313789368
20.2,2017,2017-06-29,180,0.6743707060813904
20.3,2017,2017-05-12,132,0.6860111355781555
20.4,2017,2017-05-12,132,0.7531182169914246
20.5,2017,2017-05-12,132,0.7923474907875061
20.6,2017,2017-05-12,132,0.8008250594139099
20.7,2017,2017-05-12,132,0.8008250594139099
20.8,2017,2017-06-05,156,0.8036226034164429
20.9,2017,2017-06-05,156,0.8388572931289673
21.0,2017,2017-06-05,156,0.860677182674408
21.1,2017,2017-06-05,156,0.8290647864341736
21.2,2017,2017-06-05,156,0.8290647864341736
21.3,2017,2017-06-05,156,0.7789851427078247
21.4,2017,2017-05-12,132,0.7601751685142517
21.5,2017,2017-05-12,132,0.7979896664619446
21.6,2017,2017-05-12,132,0.7967773675918579
21.7,2017,2017-05-12,132,0.7967773675918579
21.8,2017,2017-05-12,132,0.7651848196983337
21.9,2017,2017-05-12,132,0.7739281058311462
22.0,2017,2017-05-12,132,0.7784216403961182
22.1,2017,2017-05-12,132,0.6648622751235962
22.2,2017,2017-05-12,132,0.6648622751235962
22.3,2017,2017-06-05,156,0.6125579476356506
22.4,2017,2017-06-05,156,0.6174127459526062
22.5,2017,2017-06-05,156,0.6220918297767639
22.6,2017,2017-05-12,132,0.683227002620697
22.7,2017,2017-05-12,132,0.683227002620697
22.8,2017,2017-05-12,132,0.734381377696991
22.9,2017,2017-05-12,132,0.6718320250511169
23.0,2017,2017-05-12,132,0.6730883717536926
23.1,2017,2017-05-12,132,0.6930949687957764
23.2,2017,2017-05-12,132,0.6787132024765015
23.3,2017,2017-04-30,120,0.6632260680198669
23.4,2017,2017-04-30,120,0.6632260680198669
23.5,2017,2017-04-30,120,0.639742910861969
23.6,2017,2017-06-05,156,0.5975923538208008
23.7,2017,2017-06-05,156,0.5975923538208008
23.8,2017,2017-06-05,156,0.5919719934463501
23.9,2017,2017-06-05,156,0.5711891651153564
24.0,2017,2017-08-28,240,0.565705418586731
24.1,2017,2017-08-28,240,0.5181155204772949
24.2,2017,2017-08-28,240,0.5181155204772949
24.3,2017,2017-05-12,132,0.6087772250175476
24.4,2017,2017-05-12,132,0.7119505405426025
24.5,2017,2017-05-12,132,0.7119505405426025
24.6,2017,2017-05-12,132,0.6796528697013855
24.7,2017,2017-05-12,132,0.7915330529212952
24.8,2017,2017-05-12,132,0.8098469376564026
24.9,2017,2017-05-12,132,0.8529613018035889
25.0,2017,2017-05-12,132,0.7987183332443237
25.1,2017,2017-05-12,132,0.8199011087417603
25.2,2017,2017-05-12,132,0.7932146787643433
25.3,2017,2017-04-30,120,0.48765045404434204
25.4,2017,2017-06-05,156,0.475531667470932
25.5,2017,2017-06-05,156,0.4973198175430298
25.6,2017,2017-05-12,132,0.8011248707771301
25.7,2017,2017-05-12,132,0.6988239288330078
25.8,2017,2017-05-12,132,0.672227144241333
25.9,2017,2017-05-12,132,0.6371146440505981
26.0,2017,2017-05-12,132,0.6030085682868958
26.1,2017,2017-05-12,132,0.5509947538375854
26.2,2017,2017-05-12,132,0.528823971748352
26.3,2017,2017-05-12,132,0.5420331358909607
26.4,2017,2017-05-12,132,0.5301308631896973
26.5,2017,2017-05-12,132,0.4952191710472107
26.6,2017,2017-04-30,120,0.4649713933467865
26.7,2017,2017-04-30,120,0.4653332233428955
26.8,2017,2017-08-28,240,0.47928285598754883
26.9,2017,2017-05-12,132,0.469500869512558
27.0,2017,2017-05-12,132,0.44779929518699646
27.1,2017,2017-05-12,132,0.5022697448730469
27.2,2017,2017-05-12,132,0.5078942775726318
27.3,2017,2017-04-30,120,0.4464799761772156
27.4,2017,2017-04-30,120,0.4464799761772156
27.5,2017,2017-06-05,156,0.49436500668525696
27.6,2017,2017-06-05,156,0.5046891570091248
27.7,2017,2017-06-05,156,0.5166016817092896
27.8,2017,2017-06-05,156,0.5101825594902039
27.9,2017,2017-06-05,156,0.5044508576393127
28.0,2017,2017-06-05,156,0.5044508576393127
28.1,2017,2017-06-05,156,0.4743187427520752
28.2,2017,2017-05-12,132,0.5833386778831482
28.3,2017,2017-05-12,132,0.5833386778831482
28.4,2017,2017-05-12,132,0.635040283203125
28.5,2017,2017-05-12,132,0.6284835338592529
28.6,2017,2017-05-12,132,0.5733960270881653
28.7,2017,2017-05-12,132,0.5668662786483765
28.8,2017,2017-05-12,132,0.5308214426040649
28.9,2017,2017-05-12,132,0.5155224800109863
29.0,2017,2017-05-12,132,0.531919002532959
29.1,2017,2017-04-30,120,0.4906657636165619
29.2,2017,2017-05-12,132,0.491989403963089
29.3,2017,2017-05-12,132,0.4543255865573883
29.4,2017,2017-05-12,132,0.4543255865573883
29.5,2017,2017-05-12,132,0.4493709206581116
29.6,2017,2017-04-30,120,0.4601409137248993
29.7,2017,2017-05-12,132,0.4657888412475586
29.8,2017,2017-05-12,132,0.44563230872154236
29.9,2017,2017-05-12,132,0.44563230872154236
30.0,2017,2017-04-30,120,0.3987516462802887
30.1,2017,2017-04-30,120,0.4041026830673218
30.2,2017,2017-04-30,120,0.4033811390399933
30.3,2017,2017-04-30,120,0.41138461232185364
30.4,2017,2017-05-12,132,0.42507854104042053
30.5,2017,2017-05-12,132,0.41699114441871643
30.6,2017,2017-05-12,132,0.40761715173721313
30.7,2017,2017-05-12,132,0.3939223885536194
30.8,2017,2017-04-30,120,0.4012640714645386
30.9,2017,2017-04-30,120,0.37652814388275146
31.0,2017,2017-04-30,120,0.37652814388275146
31.1,2017,2017-04-30,120,0.36274954676628113
31.2,2017,2017-05-12,132,0.3883226215839386
31.3,2017,2017-05-12,132,0.3980015218257904
31.4,2017,2017-05-12,132,0.4064779281616211
31.5,2017,2017-05-12,132,0.4210166335105896
31.6,2017,2017-05-12,132,0.4346182644367218
31.7,2017,2017-05-12,132,0.43833446502685547
31.8,2017,2017-05-12,132,0.4147570729255676
31.9,2017,2017-05-12,132,0.4152334928512573
32.0,2017,2017-05-12,132,0.3729592561721802
32.1,2017,2017-05-12,132,0.3909064531326294
32.2,2017,2017-05-12,132,0.3990498185157776
32.3,2017,2017-05-12,132,0.37190815806388855
32.4,2017,2017-05-12,132,0.37145546078681946
32.5,2017,2017-05-12,132,0.3338013291358948
32.6,2017,2017-05-12,132,0.3338013291358948
32.7,2017,2017-05-12,132,0.3047098219394684
32.8,2017,2017-05-12,132,0.3345794677734375
32.9,2017,2017-05-12,132,0.30314090847969055
33.0,2017,2017-05-12,132,0.2903052568435669
33.1,2017,2017-04-30,120,0.29331356287002563
33.2,2017,2017-04-30,120,0.32480838894844055
33.3,2017,2017-04-30,120,0.3209121823310852
33.4,2017,2017-04-30,120,0.30831268429756165
33.5,2017,2017-04-30,120,0.30991339683532715
33.6,2017,2017-04-30,120,0.30834078788757324
33.7,2017,2017-04-30,120,0.3096458315849304
33.8,2017,2017-04-30,120,0.29974010586738586
33.9,2017,2017-04-30,120,0.29244428873062134
34.0,2017,2017-04-30,120,0.27166393399238586
34.1,2017,2017-04-30,120,0.27166393399238586
34.2,2017,2017-04-30,120,0.24265596270561218
34.3,2017,2017-04-30,120,0.24337735772132874
34.4,2017,2017-04-30,120,0.2351672500371933
34.5,2017,2017-04-30,120,0.24189399182796478
34.6,2017,2017-04-30,120,0.2398832142353058
34.7,2017,2017-04-30,120,0.2046111673116684
34.8,2017,2017-04-30,120,0.18996171653270721
34.9,2017,2017-04-30,120,0.17496609687805176
35.0,2017,2017-04-30,120,0.15945594012737274
35.1,2017,2017-04-30,120,0.13274931907653809
35.2,2017,2017-10-27,300,0.10602516680955887
35.3,2017,2017-10-27,300,0.10602516680955887
35.4,2017,2017-08-16,228,0.10739091038703918
35.5,2017,2017-10-27,300,0.0990288183093071
35.6,2017,2017-10-27,300,0.09218545258045197
35.7,2017,2017-08-16,228,0.09274183958768845
35.8,2017,2017-08-16,228,0.09665070474147797
35.9,2017,2017-08-16,228,0.10755503922700882
36.0,2017,2017-08-04,216,0.09742438048124313
36.1,2017,2017-08-04,216,0.10808179527521133
36.2,2017,2017-08-04,216,0.11662715673446655
36.3,2017,2017-08-04,216,0.11662715673446655
36.4,2017,2017-08-04,216,0.12209924310445786
36.5,2017,2017-08-04,216,0.11824770271778107
36.6,2017,2017-08-04,216,0.12356166541576385
36.7,2017,2017-08-04,216,0.12003903090953827
36.8,2017,2017-08-04,216,0.12600699067115784
36.9,2017,2017-08-04,216,0.10730630904436111
37.0,2017,2017-08-04,216,0.11268431693315506
37.1,2017,2017-08-04,216,0.11849606037139893
