distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,212.57142857142858,150.0,271.5,7,True
0.1,190.28571428571428,115.5,252.0,7,True
0.2,210.85714285714286,197.0,256.0,7,True
0.3,190.28571428571428,180.0,222.0,7,True
0.4,216.0,202.5,226.5,7,True
0.5,238.28571428571428,218.5,276.0,7,True
0.6,222.85714285714286,218.5,247.0,7,True
0.7,202.28571428571428,177.5,236.5,7,True
0.8,195.42857142857142,172.5,215.0,7,True
0.9,226.28571428571428,202.0,249.5,7,True
1.0,245.14285714285714,228.0,267.5,7,True
1.1,183.42857142857142,134.5,243.5,7,True
1.2,192.0,163.5,211.5,7,True
1.3,224.57142857142858,206.5,250.5,7,True
1.4,200.57142857142858,172.5,221.0,7,True
1.5,188.57142857142858,145.5,237.5,7,True
1.6,197.14285714285714,160.0,232.5,7,True
1.7,188.57142857142858,169.5,224.0,7,True
1.8,183.42857142857142,138.5,232.5,7,True
1.9,159.42857142857142,122.0,193.0,7,True
2.0,144.0,138.0,168.5,7,True
2.1,159.42857142857142,126.0,194.0,7,True
2.2,181.71428571428572,168.0,200.0,7,True
2.3,144.0,110.5,174.0,7,True
2.4,147.42857142857142,119.0,164.5,7,True
2.5,178.28571428571428,146.5,211.0,7,True
2.6,198.85714285714286,188.5,215.0,7,True
2.7,190.28571428571428,151.5,220.5,7,True
2.8,180.0,95.0,244.5,7,True
2.9,204.0,150.5,268.5,7,True
3.0,202.28571428571428,180.5,254.0,7,True
3.1,157.71428571428572,107.5,208.0,7,True
3.2,150.85714285714286,108.5,198.0,7,True
3.3,125.14285714285714,97.5,148.5,7,True
3.4,152.57142857142858,103.0,210.0,7,True
3.5,161.14285714285714,107.5,208.0,7,True
3.6,181.71428571428572,120.0,239.0,7,True
3.7,162.85714285714286,132.0,194.0,7,True
3.8,144.0,104.5,167.5,7,True
3.9,181.71428571428572,141.5,217.0,7,True
4.0,190.28571428571428,137.0,234.0,7,True
4.1,162.85714285714286,133.5,192.0,7,True
4.2,157.71428571428572,131.0,168.0,7,True
4.3,193.71428571428572,169.5,232.5,7,True
4.4,173.14285714285714,144.0,210.0,7,True
4.5,145.71428571428572,95.5,198.0,7,True
4.6,173.14285714285714,157.5,203.0,7,True
4.7,152.57142857142858,120.0,186.0,7,True
4.8,180.0,159.5,200.5,7,True
4.9,169.71428571428572,138.5,192.0,7,True
5.0,173.14285714285714,155.5,218.5,7,True
5.1,169.71428571428572,103.0,234.5,7,True
5.2,193.71428571428572,162.5,224.0,7,True
5.3,166.28571428571428,128.5,198.5,7,True
5.4,193.71428571428572,157.5,230.0,7,True
5.5,164.57142857142858,121.0,224.5,7,True
5.6,173.14285714285714,147.5,209.0,7,True
5.7,181.71428571428572,146.5,215.5,7,True
5.8,145.71428571428572,139.0,152.5,7,True
5.9,185.14285714285714,139.0,215.0,7,True
6.0,178.28571428571428,127.0,219.5,7,True
6.1,162.85714285714286,127.0,189.5,7,True
6.2,192.0,139.0,240.5,7,True
6.3,188.57142857142858,162.0,229.0,7,True
6.4,209.14285714285714,183.5,252.0,7,True
6.5,166.28571428571428,137.0,205.5,7,True
6.6,174.85714285714286,131.5,233.0,7,True
6.7,193.71428571428572,171.5,238.5,7,True
6.8,176.57142857142858,126.0,220.5,7,True
6.9,180.0,123.5,236.5,7,True
7.0,186.85714285714286,149.0,244.5,7,True
7.1,169.71428571428572,140.5,183.5,7,True
7.2,171.42857142857142,140.5,200.5,7,True
7.3,183.42857142857142,158.5,225.5,7,True
7.4,185.14285714285714,142.0,234.0,7,True
7.5,181.71428571428572,135.5,210.0,7,True
7.6,195.42857142857142,149.0,244.0,7,True
7.7,200.57142857142858,164.5,247.0,7,True
7.8,156.0,136.5,165.5,7,True
7.9,152.57142857142858,134.5,169.0,7,True
8.0,192.0,127.0,252.0,7,True
8.1,169.71428571428572,124.5,222.5,7,True
8.2,202.28571428571428,168.0,252.0,7,True
8.3,183.42857142857142,145.5,239.5,7,True
8.4,166.28571428571428,149.0,201.5,7,True
8.5,224.57142857142858,203.5,249.5,7,True
8.6,190.28571428571428,160.0,245.0,7,True
8.7,147.42857142857142,115.5,176.5,7,True
8.8,183.42857142857142,151.5,225.5,7,True
8.9,168.0,127.5,215.5,7,True
9.0,168.0,97.0,212.0,7,True
9.1,168.0,115.0,203.0,7,True
9.2,183.42857142857142,162.5,195.5,7,True
9.3,216.0,194.5,240.0,7,True
9.4,193.71428571428572,173.0,219.5,7,True
9.5,195.42857142857142,169.5,225.5,7,True
9.6,183.42857142857142,148.5,221.0,7,True
9.7,169.71428571428572,123.5,239.0,7,True
9.8,162.85714285714286,115.5,212.5,7,True
9.9,193.71428571428572,162.0,226.5,7,True
10.0,144.0,114.0,174.0,7,True
10.1,154.28571428571428,102.0,194.5,7,True
10.2,171.42857142857142,131.5,204.0,7,True
10.3,198.85714285714286,169.5,226.5,7,True
10.4,185.14285714285714,141.5,230.0,7,True
10.5,183.42857142857142,132.5,242.0,7,True
10.6,150.85714285714286,104.5,190.0,7,True
10.7,128.57142857142858,105.5,134.5,7,True
10.8,152.57142857142858,118.5,176.5,7,True
10.9,150.85714285714286,119.0,179.5,7,True
11.0,133.71428571428572,102.5,163.0,7,True
11.1,171.42857142857142,115.5,202.5,7,True
11.2,116.57142857142857,90.0,130.5,7,True
11.3,137.14285714285714,87.5,177.5,7,True
11.4,140.57142857142858,91.5,175.0,7,True
11.5,113.14285714285714,96.0,132.0,7,True
11.6,150.85714285714286,117.5,160.5,7,True
11.7,161.14285714285714,125.0,173.0,7,True
11.8,173.14285714285714,139.5,212.5,7,True
11.9,188.57142857142858,151.0,218.5,7,True
12.0,174.85714285714286,149.0,196.0,7,True
12.1,150.85714285714286,120.0,168.0,7,True
12.2,212.57142857142858,187.0,242.5,7,True
12.3,217.71428571428572,196.0,237.5,7,True
12.4,198.85714285714286,183.5,249.5,7,True
12.5,228.0,192.0,257.0,7,True
12.6,193.71428571428572,160.5,257.0,7,True
