s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,563320.6054599248,3992154.435193636,6395.6187,30.617071,0.13062999
0.1,563346.7168531867,3992250.5968044894,6365.043,22.009115,0.14729382
0.2,563390.5206439359,3992340.350759691,6207.549,44.949406,0.15398848
0.3,563443.9048046377,3992424.863120328,6078.078,45.40237,0.23448068
0.4,563503.2568792726,3992505.314822925,6012.8013,49.852013,0.3529142
0.5,563562.6652371349,3992585.590483023,5950.611,55.558662,0.32395428
0.6,563611.5677815235,3992672.665855495,5928.428,62.487247,0.29495597
0.7,563650.1555490388,3992764.813974837,5896.369,63.2299,0.28928092
0.8,563679.1053584666,3992860.472184308,5834.9165,66.64939,0.28570756
0.9,563699.3881913642,3992958.367523724,5773.7495,68.85346,0.27395853
1.0,563712.0904970316,3993057.5468176045,5733.0923,73.70824,0.26439553
1.1,563718.2842978572,3993157.3447282803,5705.2886,82.89784,0.27190766
1.2,563718.9512418495,3993257.3251292203,5671.6235,98.5036,0.27550724
1.3,563726.5276891552,3993356.947249205,5649.204,120.43294,0.28437874
1.4,563743.2425689884,3993455.419222251,5636.2207,143.25485,0.3352188
1.5,563769.2717428114,3993551.832922027,5617.0073,165.44379,0.42791528
1.6,563804.4264053749,3993645.3045784896,5604.435,181.6172,0.539519
1.7,563848.1731214308,3993735.0901056905,5592.243,189.42789,0.6296782
1.8,563899.7171512992,3993820.6697896468,5583.4854,206.25243,0.70315313
1.9,563958.1195000532,3993901.7798981015,5570.895,221.42899,0.7351646
2.0,564022.6546649699,3993978.1684606564,5561.0093,229.91782,0.7178375
2.1,564093.1216554934,3994049.1031897906,5552.43,242.91771,0.6338565
2.2,564160.3178966844,3994123.101810243,5547.1406,245.37627,0.49232936
2.3,564222.8895800117,3994201.0172270285,5538.5835,240.83247,0.45149073
2.4,564279.622766091,3994283.2572149327,5534.564,239.48936,0.42776075
2.5,564329.0228308652,3994370.0759541793,5537.3677,234.37921,0.43304566
2.6,564369.3571059438,3994461.431747066,5526.0474,223.31403,0.4336463
2.7,564398.8005275832,3994556.8299190835,5517.3955,214.94405,0.4306081
2.8,564415.7055009522,3994655.216848975,5498.4365,194.35535,0.41430253
2.9,564418.9512418491,3994755.0147764552,5484.575,182.59734,0.39201152
3.0,564425.4636675346,3994854.7635431015,5464.8647,184.69261,0.33239603
3.1,564442.2566632718,3994953.2886987375,5443.141,190.18604,0.31281877
3.2,564468.8399134466,3995049.5987909357,5404.7104,207.48366,0.33954677
3.3,564505.4224475031,3995142.5665491484,5391.798,233.2247,0.3576309
3.4,564552.1053063594,3995230.9138729116,5388.392,245.41055,0.32308048
3.5,564609.2944812119,3995312.8618253493,5376.71,274.59042,0.30335572
3.6,564669.6611919679,3995392.5313263135,5363.4517,301.92694,0.27488765
3.7,564724.0316311117,3995476.40878957,5355.057,318.9676,0.2725111
3.8,564771.0721881589,3995564.5988580273,5349.6426,348.82077,0.30289894
3.9,564810.2080290855,3995656.5683894176,5347.5015,361.10757,0.30372924
4.0,564841.6895334886,3995751.430020104,5346.247,360.44772,0.33973542
4.1,564864.5825737423,3995848.720767503,5342.3633,337.78088,0.4359533
4.2,564882.1455501466,3995947.1543176323,5341.522,323.76877,0.4805759
4.3,564904.0189426168,3996044.71711937,5338.695,315.28717,0.51176727
4.4,564932.489535004,3996140.54765561,5332.341,316.84204,0.49573672
4.5,564968.84278728,3996233.6289449264,5326.2476,315.13147,0.50111616
4.6,565016.5629192211,3996321.350292203,5317.2676,316.35925,0.5264778
4.7,565053.8014534953,3996413.325536317,5307.917,315.69946,0.4732397
4.8,565072.5452725646,3996511.5444249334,5296.7827,315.97696,0.5138254
4.9,565084.797929764,3996610.790948256,5286.985,323.46823,0.4984893
5.0,565093.7861717725,3996710.3694001893,5277.641,328.61288,0.55577856
5.1,565101.1859790398,3996810.0883970927,5261.904,332.10715,0.58734196
5.2,565106.2215991493,3996909.961529266,5255.372,336.62247,0.60886407
5.3,565110.5434221916,3997009.8629979584,5249.7065,339.4271,0.5995447
5.4,565113.4407560605,3997109.8210164285,5245.3174,340.31763,0.6147598
5.5,565116.0512704105,3997209.7850181847,5241.2715,338.99997,0.61178464
5.6,565117.3250524114,3997309.7769052526,5237.4146,338.3097,0.61418104
5.7,565118.5988344122,3997409.7687923205,5233.7847,336.43323,0.57857865
5.8,565118.9512418493,3997509.766547778,5229.291,334.06418,0.62318754
5.9,565118.9512418493,3997609.766547778,5223.7344,334.08737,0.74253196
6.0,565118.9512418492,3997709.766547778,5216.665,334.2158,0.74062204
6.1,565126.5052691357,3997809.472972827,5208.8516,347.14014,0.7432042
6.2,565134.2662211256,3997909.1713560848,5201.8965,352.72153,0.736779
6.3,565145.0453413973,3998008.504611863,5196.9873,357.2868,0.70330787
6.4,565161.2826609428,3998107.177553716,5189.2695,359.15964,0.70775557
6.5,565177.5199804882,3998205.8504955694,5185.781,358.58438,0.6752063
6.6,565201.5162224734,3998302.873343146,5185.648,350.92188,0.65774673
6.7,565226.8376949136,3998399.614353237,5180.8975,340.64273,0.63979214
6.8,565256.4097432074,3998495.013356725,5175.4683,328.74066,0.6637543
6.9,565291.2283961676,3998588.755883926,5170.363,318.44263,0.6367924
7.0,565327.1451616419,3998682.0235991124,5162.2646,312.42194,0.56868875
7.1,565371.5927882205,3998771.602661909,5151.4004,313.31738,0.5408317
7.2,565416.0404147991,3998861.1817247057,5142.8794,313.43997,0.50810486
7.3,565468.296483819,3998946.3445648677,5130.0244,319.05615,0.5044816
7.4,565522.1626539855,3999030.596779744,5118.033,320.82898,0.529608
7.5,565581.0452620639,3999111.241834215,5111.358,326.65933,0.57943016
7.6,565643.7666040926,3999189.1265776125,5100.157,341.44464,0.55565834
7.7,565708.8809640255,3999264.862498321,5098.222,346.78372,0.556138
7.8,565779.5916421441,3999335.57317644,5090.119,352.77283,0.6469856
7.9,565850.29692607,3999406.2889751154,5083.4106,355.94592,0.651909
8.0,565917.2340286006,3999480.5818032,5074.9536,361.98892,0.67645943
8.1,565984.1711311312,3999554.8746312843,5069.0894,376.2746,0.70187753
8.2,566047.0181117461,3999632.632176786,5065.149,380.54318,0.6163436
8.3,566109.2926924874,3999710.8745987415,5062.082,376.08533,0.5533558
8.4,566166.2245613226,3999793.0630122977,5059.001,368.58282,0.5843904
8.5,566221.8097928232,3999876.1440586364,5058.401,368.97284,0.5733257
8.6,566271.0155184892,3999963.2003425085,5052.852,373.07864,0.55064124
8.7,566315.9550336228,4000052.390147117,5046.5923,373.4789,0.5760225
8.8,566356.0908969353,4000143.9822454453,5046.5923,381.64417,0.57875633
8.9,566385.5662732363,4000239.5055722725,5038.037,391.36453,0.64969707
9.0,566407.1227364611,4000336.9123186674,5030.525,392.2968,0.7280508
