distance_km,year,onset_date,onset_doy
0.0,2018,2018-04-13,103
0.1,2018,2018-04-13,103
0.2,2018,2018-05-31,151
0.3,2018,2018-03-20,79
0.4,2018,2018-04-13,103
1.0,2018,2018-05-19,139
1.1,2018,2018-05-19,139
1.2,2018,2018-03-20,79
1.3,2018,2018-03-20,79
1.6,2018,2018-05-19,139
2.0,2018,2018-05-07,127
2.1,2018,2018-04-13,103
2.2,2018,2018-04-13,103
2.3,2018,2018-03-08,67
2.4,2018,2018-05-07,127
2.6,2018,2018-05-31,151
2.9,2018,2018-05-31,151
3.0,2018,2018-05-31,151
3.1,2018,2018-03-20,79
3.2,2018,2018-03-20,79
3.3,2018,2018-04-13,103
4.0,2018,2018-03-08,67
4.2,2018,2018-03-08,67
4.3,2018,2018-03-08,67
4.8,2018,2018-03-08,67
4.9,2018,2018-03-08,67
5.4,2018,2018-05-19,139
5.5,2018,2018-05-19,139
5.6,2018,2018-05-19,139
6.7,2018,2018-03-08,67
6.8,2018,2018-03-08,67
6.9,2018,2018-04-13,103
7.0,2018,2018-05-07,127
7.1,2018,2018-05-07,127
8.8,2018,2018-03-20,79
8.9,2018,2018-03-20,79
9.0,2018,2018-05-31,151
9.4,2018,2018-03-20,79
9.6,2018,2018-05-07,127
9.7,2018,2018-05-31,151
9.8,2018,2018-05-19,139
9.9,2018,2018-03-08,67
10.4,2018,2018-05-07,127
10.6,2018,2018-05-31,151
10.7,2018,2018-04-13,103
11.4,2018,2018-03-08,67
11.5,2018,2018-03-08,67
11.6,2018,2018-03-08,67
11.7,2018,2018-05-07,127
11.8,2018,2018-05-07,127
12.1,2018,2018-05-19,139
12.2,2018,2018-03-20,79
12.3,2018,2018-05-07,127
12.4,2018,2018-05-07,127
12.5,2018,2018-05-07,127
12.6,2018,2018-05-31,151
12.7,2018,2018-03-08,67
12.8,2018,2018-03-20,79
12.9,2018,2018-03-20,79
13.2,2018,2018-03-08,67
13.3,2018,2018-03-08,67
13.4,2018,2018-04-13,103
13.5,2018,2018-03-08,67
13.6,2018,2018-03-20,79
13.7,2018,2018-04-13,103
13.8,2018,2018-05-19,139
13.9,2018,2018-05-19,139
14.0,2018,2018-05-19,139
14.1,2018,2018-05-19,139
14.2,2018,2018-05-07,127
14.3,2018,2018-05-19,139
14.4,2018,2018-05-19,139
14.5,2018,2018-05-19,139
14.6,2018,2018-05-19,139
14.7,2018,2018-05-19,139
14.8,2018,2018-05-19,139
14.9,2018,2018-05-19,139
15.0,2018,2018-05-19,139
15.1,2018,2018-05-19,139
15.2,2018,2018-05-19,139
15.3,2018,2018-05-19,139
15.4,2018,2018-05-19,139
15.5,2018,2018-05-19,139
15.6,2018,2018-05-07,127
15.7,2018,2018-05-31,151
15.8,2018,2018-05-07,127
15.9,2018,2018-05-07,127
16.0,2018,2018-03-20,79
16.1,2018,2018-03-08,67
16.2,2018,2018-03-08,67
16.3,2018,2018-03-08,67
16.4,2018,2018-03-08,67
16.5,2018,2018-03-08,67
16.6,2018,2018-05-19,139
16.7,2018,2018-05-19,139
16.8,2018,2018-03-08,67
16.9,2018,2018-05-07,127
17.0,2018,2018-04-13,103
17.1,2018,2018-04-13,103
17.2,2018,2018-05-19,139
17.3,2018,2018-05-19,139
17.4,2018,2018-05-19,139
17.5,2018,2018-05-19,139
17.6,2018,2018-05-19,139
17.7,2018,2018-05-19,139
17.8,2018,2018-05-19,139
17.9,2018,2018-05-19,139
18.0,2018,2018-05-19,139
18.1,2018,2018-05-07,127
18.2,2018,2018-05-19,139
18.3,2018,2018-05-19,139
18.4,2018,2018-05-19,139
18.5,2018,2018-03-08,67
18.6,2018,2018-05-07,127
18.7,2018,2018-03-20,79
18.8,2018,2018-03-20,79
18.9,2018,2018-03-20,79
19.0,2018,2018-03-20,79
19.1,2018,2018-03-08,67
19.2,2018,2018-05-07,127
19.3,2018,2018-05-07,127
19.4,2018,2018-05-07,127
19.5,2018,2018-05-07,127
19.6,2018,2018-03-08,67
19.7,2018,2018-03-08,67
19.8,2018,2018-03-08,67
19.9,2018,2018-03-08,67
20.0,2018,2018-03-08,67
20.1,2018,2018-05-07,127
20.2,2018,2018-05-07,127
20.3,2018,2018-05-07,127
20.4,2018,2018-05-07,127
20.5,2018,2018-05-07,127
20.6,2018,2018-03-20,79
20.7,2018,2018-03-20,79
20.8,2018,2018-03-08,67
20.9,2018,2018-03-20,79
21.0,2018,2018-03-20,79
21.1,2018,2018-05-31,151
21.2,2018,2018-05-07,127
21.3,2018,2018-03-08,67
21.4,2018,2018-03-08,67
21.5,2018,2018-03-08,67
21.6,2018,2018-03-08,67
21.7,2018,2018-03-20,79
21.8,2018,2018-03-20,79
21.9,2018,2018-03-20,79
22.0,2018,2018-03-20,79
22.1,2018,2018-03-08,67
22.2,2018,2018-03-08,67
22.3,2018,2018-03-08,67
22.4,2018,2018-03-08,67
22.5,2018,2018-03-08,67
22.6,2018,2018-03-08,67
22.7,2018,2018-03-20,79
22.8,2018,2018-03-08,67
22.9,2018,2018-03-08,67
23.0,2018,2018-03-08,67
23.1,2018,2018-03-20,79
23.2,2018,2018-03-20,79
23.3,2018,2018-03-20,79
23.4,2018,2018-03-08,67
23.5,2018,2018-05-07,127
23.6,2018,2018-03-08,67
23.7,2018,2018-03-20,79
23.8,2018,2018-03-08,67
23.9,2018,2018-03-08,67
24.0,2018,2018-03-20,79
24.1,2018,2018-03-20,79
24.2,2018,2018-03-20,79
24.3,2018,2018-03-20,79
24.4,2018,2018-03-20,79
24.5,2018,2018-03-20,79
24.6,2018,2018-03-20,79
24.7,2018,2018-03-20,79
24.8,2018,2018-03-20,79
24.9,2018,2018-03-20,79
25.0,2018,2018-03-08,67
25.1,2018,2018-03-08,67
25.2,2018,2018-03-08,67
25.3,2018,2018-03-08,67
25.4,2018,2018-03-08,67
25.5,2018,2018-03-08,67
25.6,2018,2018-03-08,67
25.7,2018,2018-03-08,67
25.8,2018,2018-03-20,79
25.9,2018,2018-03-20,79
26.0,2018,2018-03-20,79
26.1,2018,2018-05-07,127
26.2,2018,2018-05-07,127
26.3,2018,2018-05-19,139
26.4,2018,2018-05-07,127
26.5,2018,2018-03-08,67
26.6,2018,2018-03-20,79
26.7,2018,2018-05-31,151
26.8,2018,2018-03-20,79
26.9,2018,2018-03-08,67
27.0,2018,2018-05-19,139
27.1,2018,2018-03-08,67
27.2,2018,2018-03-08,67
27.3,2018,2018-03-08,67
27.4,2018,2018-05-31,151
27.5,2018,2018-03-08,67
27.6,2018,2018-03-08,67
27.7,2018,2018-03-08,67
27.8,2018,2018-03-08,67
27.9,2018,2018-03-08,67
28.0,2018,2018-03-08,67
28.1,2018,2018-03-08,67
28.2,2018,2018-03-08,67
28.25,2018,2018-03-08,67
0.0,2019,2019-03-15,74
0.1,2019,2019-04-08,98
0.2,2019,2019-05-26,146
0.3,2019,2019-03-27,86
1.5,2019,2019-06-07,158
1.7,2019,2019-03-27,86
1.8,2019,2019-05-02,122
1.9,2019,2019-04-08,98
2.1,2019,2019-05-14,134
2.2,2019,2019-05-14,134
2.3,2019,2019-05-14,134
2.4,2019,2019-05-26,146
2.5,2019,2019-05-14,134
2.6,2019,2019-06-07,158
3.0,2019,2019-03-03,62
3.1,2019,2019-03-03,62
3.2,2019,2019-03-03,62
3.6,2019,2019-03-03,62
4.1,2019,2019-06-07,158
4.2,2019,2019-06-07,158
4.7,2019,2019-04-08,98
5.4,2019,2019-03-27,86
5.9,2019,2019-03-15,74
6.0,2019,2019-05-26,146
6.4,2019,2019-03-27,86
6.5,2019,2019-05-14,134
6.6,2019,2019-05-14,134
6.7,2019,2019-05-26,146
6.9,2019,2019-05-14,134
7.5,2019,2019-06-07,158
7.9,2019,2019-05-26,146
8.0,2019,2019-05-26,146
8.1,2019,2019-05-02,122
8.2,2019,2019-05-02,122
8.3,2019,2019-05-02,122
8.4,2019,2019-05-02,122
8.5,2019,2019-04-08,98
8.6,2019,2019-06-07,158
8.7,2019,2019-03-27,86
8.8,2019,2019-03-27,86
8.9,2019,2019-05-14,134
9.0,2019,2019-04-20,110
9.1,2019,2019-03-27,86
9.2,2019,2019-03-27,86
9.3,2019,2019-03-27,86
9.5,2019,2019-03-15,74
9.7,2019,2019-03-03,62
9.8,2019,2019-03-03,62
9.9,2019,2019-03-03,62
10.0,2019,2019-03-03,62
10.1,2019,2019-03-03,62
10.2,2019,2019-03-03,62
10.3,2019,2019-03-15,74
10.4,2019,2019-04-20,110
10.5,2019,2019-05-02,122
10.6,2019,2019-05-14,134
11.2,2019,2019-05-14,134
11.3,2019,2019-05-14,134
11.4,2019,2019-05-14,134
11.7,2019,2019-03-03,62
11.8,2019,2019-03-03,62
11.9,2019,2019-04-20,110
12.0,2019,2019-05-02,122
12.1,2019,2019-05-02,122
12.2,2019,2019-06-07,158
12.3,2019,2019-03-03,62
12.4,2019,2019-03-03,62
12.5,2019,2019-06-07,158
12.6,2019,2019-03-27,86
12.7,2019,2019-03-03,62
12.8,2019,2019-03-03,62
12.9,2019,2019-03-03,62
13.1,2019,2019-04-20,110
13.2,2019,2019-03-03,62
13.3,2019,2019-04-20,110
13.4,2019,2019-04-20,110
13.6,2019,2019-04-08,98
13.7,2019,2019-04-08,98
13.8,2019,2019-03-03,62
13.9,2019,2019-06-07,158
14.1,2019,2019-06-07,158
14.2,2019,2019-06-07,158
14.3,2019,2019-06-07,158
14.7,2019,2019-06-07,158
14.8,2019,2019-06-07,158
14.9,2019,2019-06-07,158
15.0,2019,2019-06-07,158
15.1,2019,2019-06-07,158
15.5,2019,2019-06-07,158
15.6,2019,2019-06-07,158
15.7,2019,2019-06-07,158
15.8,2019,2019-06-07,158
15.9,2019,2019-06-07,158
16.0,2019,2019-05-26,146
16.1,2019,2019-05-26,146
16.2,2019,2019-05-26,146
16.7,2019,2019-06-07,158
16.8,2019,2019-05-26,146
16.9,2019,2019-06-07,158
17.0,2019,2019-06-07,158
17.1,2019,2019-06-07,158
17.2,2019,2019-03-15,74
17.3,2019,2019-03-15,74
17.4,2019,2019-03-15,74
17.5,2019,2019-06-07,158
17.6,2019,2019-06-07,158
17.8,2019,2019-06-07,158
18.1,2019,2019-05-26,146
18.2,2019,2019-05-26,146
18.3,2019,2019-05-26,146
18.4,2019,2019-03-15,74
18.5,2019,2019-06-07,158
18.6,2019,2019-05-26,146
18.7,2019,2019-03-03,62
18.8,2019,2019-03-03,62
18.9,2019,2019-03-03,62
19.0,2019,2019-03-03,62
19.1,2019,2019-05-26,146
19.3,2019,2019-05-02,122
19.4,2019,2019-05-02,122
19.5,2019,2019-05-26,146
19.6,2019,2019-05-02,122
19.7,2019,2019-05-02,122
19.8,2019,2019-05-02,122
19.9,2019,2019-05-02,122
20.0,2019,2019-04-08,98
20.1,2019,2019-04-08,98
20.2,2019,2019-04-08,98
20.3,2019,2019-03-15,74
20.4,2019,2019-05-14,134
20.5,2019,2019-05-14,134
20.6,2019,2019-03-27,86
20.7,2019,2019-03-27,86
20.8,2019,2019-03-27,86
20.9,2019,2019-03-27,86
21.0,2019,2019-04-20,110
21.1,2019,2019-05-02,122
21.2,2019,2019-05-02,122
21.3,2019,2019-05-02,122
21.4,2019,2019-04-08,98
21.5,2019,2019-05-02,122
21.6,2019,2019-04-08,98
21.7,2019,2019-04-08,98
22.5,2019,2019-05-02,122
22.6,2019,2019-05-02,122
22.7,2019,2019-05-02,122
22.8,2019,2019-04-20,110
22.9,2019,2019-03-15,74
23.0,2019,2019-03-27,86
23.1,2019,2019-03-27,86
23.2,2019,2019-04-20,110
23.3,2019,2019-04-20,110
23.4,2019,2019-04-20,110
23.5,2019,2019-05-02,122
23.6,2019,2019-06-07,158
24.2,2019,2019-05-02,122
24.3,2019,2019-05-02,122
24.4,2019,2019-03-27,86
24.5,2019,2019-03-27,86
24.6,2019,2019-03-27,86
24.7,2019,2019-03-27,86
24.8,2019,2019-03-27,86
25.0,2019,2019-04-08,98
25.1,2019,2019-05-26,146
25.2,2019,2019-05-26,146
25.3,2019,2019-06-07,158
25.4,2019,2019-04-20,110
25.5,2019,2019-04-20,110
25.6,2019,2019-04-20,110
25.7,2019,2019-04-20,110
25.8,2019,2019-04-20,110
25.9,2019,2019-06-07,158
26.2,2019,2019-05-14,134
26.7,2019,2019-05-26,146
26.9,2019,2019-05-26,146
27.0,2019,2019-05-26,146
27.1,2019,2019-04-20,110
27.2,2019,2019-04-20,110
27.3,2019,2019-04-20,110
27.4,2019,2019-04-20,110
0.1,2020,2020-05-20,141
0.2,2020,2020-03-09,69
0.3,2020,2020-03-21,81
0.5,2020,2020-05-20,141
1.0,2020,2020-04-02,93
1.1,2020,2020-04-02,93
1.2,2020,2020-03-21,81
1.3,2020,2020-03-21,81
1.4,2020,2020-04-02,93
1.5,2020,2020-04-26,117
1.6,2020,2020-05-08,129
2.2,2020,2020-04-26,117
2.3,2020,2020-05-08,129
2.4,2020,2020-06-13,165
2.5,2020,2020-03-09,69
2.6,2020,2020-03-09,69
2.7,2020,2020-03-09,69
2.8,2020,2020-05-20,141
2.9,2020,2020-03-21,81
3.1,2020,2020-03-21,81
3.3,2020,2020-04-02,93
4.2,2020,2020-03-21,81
4.3,2020,2020-03-21,81
4.4,2020,2020-03-09,69
4.5,2020,2020-03-09,69
4.6,2020,2020-06-13,165
4.7,2020,2020-03-21,81
4.8,2020,2020-06-13,165
5.1,2020,2020-05-08,129
5.4,2020,2020-06-13,165
5.5,2020,2020-06-13,165
5.6,2020,2020-05-20,141
5.7,2020,2020-06-13,165
5.9,2020,2020-03-21,81
6.5,2020,2020-03-09,69
6.6,2020,2020-04-02,93
6.7,2020,2020-03-21,81
6.8,2020,2020-04-02,93
7.8,2020,2020-04-26,117
7.9,2020,2020-04-26,117
8.0,2020,2020-06-13,165
8.2,2020,2020-06-13,165
8.4,2020,2020-06-13,165
8.6,2020,2020-06-13,165
8.7,2020,2020-05-08,129
9.1,2020,2020-04-26,117
9.2,2020,2020-04-26,117
9.3,2020,2020-04-26,117
9.4,2020,2020-04-14,105
9.5,2020,2020-04-26,117
9.6,2020,2020-06-01,153
9.7,2020,2020-06-01,153
9.8,2020,2020-05-08,129
9.9,2020,2020-06-13,165
10.0,2020,2020-06-13,165
10.1,2020,2020-05-08,129
10.2,2020,2020-05-08,129
10.3,2020,2020-04-14,105
10.5,2020,2020-04-14,105
10.6,2020,2020-04-14,105
11.5,2020,2020-06-01,153
11.6,2020,2020-06-13,165
12.2,2020,2020-04-02,93
12.3,2020,2020-05-20,141
12.4,2020,2020-06-01,153
12.5,2020,2020-04-02,93
12.6,2020,2020-03-09,69
12.7,2020,2020-03-09,69
12.8,2020,2020-04-14,105
12.9,2020,2020-04-26,117
13.0,2020,2020-03-09,69
13.1,2020,2020-04-02,93
13.2,2020,2020-06-13,165
13.4,2020,2020-06-13,165
13.5,2020,2020-05-08,129
13.6,2020,2020-05-08,129
13.7,2020,2020-05-08,129
13.8,2020,2020-05-20,141
13.9,2020,2020-05-20,141
14.0,2020,2020-05-20,141
14.2,2020,2020-05-20,141
14.3,2020,2020-06-01,153
14.4,2020,2020-06-01,153
14.5,2020,2020-05-20,141
14.6,2020,2020-05-20,141
14.7,2020,2020-05-20,141
14.8,2020,2020-05-08,129
14.9,2020,2020-05-08,129
15.0,2020,2020-05-08,129
15.1,2020,2020-05-20,141
15.2,2020,2020-05-20,141
15.3,2020,2020-05-20,141
15.4,2020,2020-05-20,141
15.5,2020,2020-05-20,141
15.6,2020,2020-06-13,165
15.7,2020,2020-05-20,141
15.8,2020,2020-05-08,129
15.9,2020,2020-05-08,129
16.0,2020,2020-05-08,129
16.1,2020,2020-05-20,141
16.2,2020,2020-05-08,129
16.3,2020,2020-05-08,129
16.4,2020,2020-05-20,141
16.5,2020,2020-05-20,141
16.6,2020,2020-05-20,141
16.7,2020,2020-05-20,141
16.8,2020,2020-05-20,141
16.9,2020,2020-05-20,141
17.0,2020,2020-04-26,117
17.1,2020,2020-05-08,129
17.2,2020,2020-05-08,129
17.3,2020,2020-03-09,69
17.4,2020,2020-03-09,69
17.5,2020,2020-03-09,69
17.6,2020,2020-03-09,69
17.7,2020,2020-06-01,153
17.8,2020,2020-06-01,153
17.9,2020,2020-06-01,153
18.0,2020,2020-06-13,165
18.1,2020,2020-04-26,117
18.2,2020,2020-06-13,165
18.3,2020,2020-04-26,117
18.4,2020,2020-05-20,141
18.5,2020,2020-04-26,117
18.6,2020,2020-04-26,117
18.7,2020,2020-04-14,105
18.8,2020,2020-05-08,129
18.9,2020,2020-05-20,141
19.0,2020,2020-05-20,141
19.1,2020,2020-04-14,105
19.2,2020,2020-04-14,105
19.3,2020,2020-04-14,105
19.4,2020,2020-04-02,93
19.5,2020,2020-04-02,93
19.6,2020,2020-04-26,117
19.7,2020,2020-04-26,117
19.8,2020,2020-04-26,117
19.9,2020,2020-04-26,117
20.0,2020,2020-04-14,105
20.1,2020,2020-03-09,69
20.2,2020,2020-04-26,117
20.3,2020,2020-04-14,105
20.4,2020,2020-04-14,105
20.5,2020,2020-04-14,105
20.6,2020,2020-04-14,105
20.7,2020,2020-03-09,69
20.8,2020,2020-03-09,69
20.9,2020,2020-03-09,69
21.0,2020,2020-03-21,81
21.1,2020,2020-03-21,81
21.2,2020,2020-03-21,81
21.3,2020,2020-03-21,81
21.4,2020,2020-04-02,93
21.5,2020,2020-04-02,93
21.6,2020,2020-04-02,93
21.7,2020,2020-04-02,93
21.8,2020,2020-04-02,93
21.9,2020,2020-03-09,69
22.0,2020,2020-04-02,93
22.1,2020,2020-04-02,93
22.2,2020,2020-04-02,93
22.3,2020,2020-04-14,105
22.4,2020,2020-04-14,105
22.5,2020,2020-04-14,105
22.6,2020,2020-04-14,105
22.7,2020,2020-04-02,93
22.8,2020,2020-04-02,93
22.9,2020,2020-04-02,93
23.0,2020,2020-04-02,93
23.1,2020,2020-03-21,81
23.2,2020,2020-04-14,105
23.3,2020,2020-04-14,105
23.4,2020,2020-03-21,81
23.5,2020,2020-03-21,81
23.6,2020,2020-05-20,141
23.7,2020,2020-05-20,141
24.1,2020,2020-04-14,105
24.2,2020,2020-04-14,105
24.3,2020,2020-04-14,105
24.4,2020,2020-04-14,105
24.5,2020,2020-04-26,117
24.6,2020,2020-04-26,117
24.7,2020,2020-04-02,93
24.8,2020,2020-04-02,93
24.9,2020,2020-05-20,141
25.1,2020,2020-04-14,105
25.2,2020,2020-04-14,105
25.3,2020,2020-04-14,105
25.4,2020,2020-04-14,105
25.5,2020,2020-04-14,105
25.6,2020,2020-04-14,105
25.7,2020,2020-04-14,105
25.8,2020,2020-04-02,93
25.9,2020,2020-04-02,93
26.0,2020,2020-04-02,93
26.1,2020,2020-04-02,93
26.2,2020,2020-04-14,105
26.3,2020,2020-04-14,105
26.4,2020,2020-04-14,105
26.5,2020,2020-04-02,93
26.6,2020,2020-04-02,93
26.7,2020,2020-04-14,105
26.8,2020,2020-04-14,105
26.9,2020,2020-04-02,93
27.0,2020,2020-04-02,93
27.1,2020,2020-04-02,93
27.2,2020,2020-04-02,93
27.3,2020,2020-04-02,93
27.4,2020,2020-04-02,93
27.5,2020,2020-04-02,93
27.6,2020,2020-04-02,93
27.7,2020,2020-04-02,93
27.8,2020,2020-04-02,93
27.9,2020,2020-04-02,93
28.0,2020,2020-04-02,93
28.1,2020,2020-04-14,105
28.2,2020,2020-04-14,105
28.25,2020,2020-04-14,105
0.2,2021,2021-06-08,159
0.3,2021,2021-04-21,111
0.4,2021,2021-03-28,87
0.6,2021,2021-03-04,63
0.7,2021,2021-03-28,87
0.8,2021,2021-03-28,87
0.9,2021,2021-03-28,87
1.8,2021,2021-03-04,63
1.9,2021,2021-03-04,63
2.0,2021,2021-03-04,63
2.1,2021,2021-03-04,63
2.2,2021,2021-03-04,63
2.3,2021,2021-03-04,63
2.4,2021,2021-03-04,63
2.5,2021,2021-03-04,63
2.6,2021,2021-03-04,63
2.7,2021,2021-03-16,75
2.8,2021,2021-03-16,75
2.9,2021,2021-03-28,87
3.1,2021,2021-03-04,63
3.2,2021,2021-03-16,75
3.5,2021,2021-03-16,75
3.6,2021,2021-03-16,75
3.7,2021,2021-03-16,75
3.9,2021,2021-03-28,87
4.0,2021,2021-03-28,87
4.6,2021,2021-03-04,63
5.1,2021,2021-03-16,75
5.2,2021,2021-03-04,63
5.7,2021,2021-04-21,111
6.0,2021,2021-05-15,135
6.2,2021,2021-05-27,147
6.4,2021,2021-06-08,159
6.5,2021,2021-05-15,135
6.6,2021,2021-04-21,111
6.7,2021,2021-04-21,111
6.8,2021,2021-05-15,135
7.5,2021,2021-05-03,123
7.6,2021,2021-03-04,63
7.7,2021,2021-03-04,63
7.8,2021,2021-03-04,63
8.3,2021,2021-03-28,87
8.4,2021,2021-04-09,99
8.7,2021,2021-03-04,63
8.8,2021,2021-05-15,135
8.9,2021,2021-05-15,135
9.1,2021,2021-04-09,99
9.2,2021,2021-05-27,147
9.3,2021,2021-05-27,147
9.4,2021,2021-03-28,87
9.5,2021,2021-04-21,111
10.0,2021,2021-04-21,111
10.1,2021,2021-06-08,159
10.2,2021,2021-04-21,111
10.3,2021,2021-03-04,63
10.5,2021,2021-04-09,99
10.6,2021,2021-04-09,99
10.7,2021,2021-04-21,111
10.8,2021,2021-04-09,99
11.0,2021,2021-05-27,147
11.1,2021,2021-04-09,99
11.2,2021,2021-04-09,99
11.3,2021,2021-04-09,99
11.4,2021,2021-04-09,99
12.1,2021,2021-05-03,123
12.2,2021,2021-05-03,123
12.3,2021,2021-05-03,123
12.4,2021,2021-05-03,123
12.5,2021,2021-06-08,159
12.6,2021,2021-03-28,87
12.7,2021,2021-03-28,87
12.8,2021,2021-05-03,123
12.9,2021,2021-05-03,123
13.0,2021,2021-03-16,75
13.1,2021,2021-03-16,75
13.2,2021,2021-03-16,75
13.3,2021,2021-03-16,75
13.4,2021,2021-05-03,123
13.5,2021,2021-05-03,123
13.6,2021,2021-05-27,147
13.7,2021,2021-03-04,63
13.8,2021,2021-05-15,135
13.9,2021,2021-05-15,135
14.0,2021,2021-05-27,147
14.2,2021,2021-06-08,159
14.3,2021,2021-05-27,147
14.4,2021,2021-05-27,147
14.5,2021,2021-05-27,147
14.6,2021,2021-05-27,147
14.7,2021,2021-05-27,147
14.8,2021,2021-05-27,147
14.9,2021,2021-05-27,147
15.0,2021,2021-05-03,123
15.1,2021,2021-05-03,123
15.2,2021,2021-05-27,147
15.3,2021,2021-05-27,147
15.4,2021,2021-04-21,111
15.5,2021,2021-05-27,147
15.6,2021,2021-05-27,147
15.7,2021,2021-05-27,147
15.8,2021,2021-05-27,147
15.9,2021,2021-05-27,147
16.0,2021,2021-05-03,123
16.1,2021,2021-05-03,123
16.2,2021,2021-05-15,135
16.3,2021,2021-05-03,123
16.4,2021,2021-05-03,123
16.5,2021,2021-05-03,123
16.6,2021,2021-05-03,123
16.7,2021,2021-05-03,123
16.8,2021,2021-05-03,123
16.9,2021,2021-03-16,75
17.0,2021,2021-03-16,75
17.1,2021,2021-04-21,111
17.2,2021,2021-05-15,135
17.3,2021,2021-03-04,63
17.4,2021,2021-03-16,75
17.5,2021,2021-03-16,75
17.6,2021,2021-05-03,123
17.7,2021,2021-05-03,123
17.8,2021,2021-05-03,123
17.9,2021,2021-05-03,123
18.0,2021,2021-05-03,123
18.1,2021,2021-05-15,135
18.2,2021,2021-06-08,159
18.3,2021,2021-03-28,87
18.4,2021,2021-03-16,75
18.5,2021,2021-03-16,75
18.6,2021,2021-03-16,75
18.7,2021,2021-03-16,75
18.8,2021,2021-03-16,75
18.9,2021,2021-06-08,159
19.0,2021,2021-03-16,75
19.1,2021,2021-03-04,63
19.2,2021,2021-03-04,63
19.3,2021,2021-03-04,63
19.4,2021,2021-04-09,99
19.5,2021,2021-04-09,99
19.6,2021,2021-03-04,63
19.7,2021,2021-03-04,63
19.8,2021,2021-03-28,87
19.9,2021,2021-03-04,63
20.0,2021,2021-03-04,63
20.1,2021,2021-03-04,63
20.2,2021,2021-03-04,63
20.3,2021,2021-03-04,63
20.4,2021,2021-03-04,63
21.9,2021,2021-03-16,75
22.0,2021,2021-03-04,63
22.1,2021,2021-03-04,63
22.2,2021,2021-03-04,63
22.3,2021,2021-03-04,63
22.4,2021,2021-03-04,63
22.5,2021,2021-03-04,63
22.6,2021,2021-03-04,63
22.7,2021,2021-03-04,63
22.8,2021,2021-03-04,63
22.9,2021,2021-03-04,63
23.0,2021,2021-03-04,63
23.1,2021,2021-03-04,63
23.2,2021,2021-03-04,63
23.3,2021,2021-03-04,63
23.4,2021,2021-03-04,63
23.5,2021,2021-03-04,63
23.6,2021,2021-03-04,63
23.7,2021,2021-03-16,75
