distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,91.75,73.0,107.25,70,120,4,True
0.1,105.5,95.0,115.75,77,141,6,True
0.2,116.0,81.25,149.75,69,159,6,True
0.3,89.25,80.5,92.25,79,111,4,True
0.4,90.75,86.25,92.5,84,103,4,True
0.5,112.5,98.25,126.75,84,141,2,True
0.6,112.5,78.75,150.25,63,154,4,True
0.7,100.33333333333333,85.5,108.5,84,130,3,True
0.8,72.33333333333333,65.0,78.5,60,87,3,True
0.9,72.33333333333333,65.0,78.5,60,87,3,True
1.0,90.5,67.5,104.5,60,139,4,True
1.1,90.5,67.5,104.5,60,139,4,True
1.2,84.66666666666667,80.0,87.5,79,94,3,True
1.3,84.66666666666667,80.0,87.5,79,94,3,True
1.4,93.0,93.0,93.0,93,93,1,True
1.5,137.5,127.25,147.75,117,158,2,True
1.6,134.0,131.5,136.5,129,139,2,True
1.7,90.0,88.0,92.0,86,94,2,True
1.8,93.0,78.5,108.0,63,122,3,True
1.9,85.0,78.5,96.0,63,98,3,True
2.0,94.66666666666667,78.5,110.5,63,127,3,True
2.1,102.5,79.25,126.25,63,142,6,True
2.2,99.42857142857143,86.5,111.5,63,134,7,True
2.3,94.0,65.5,123.25,63,134,6,True
2.4,126.0,102.25,157.25,63,165,6,True
2.5,99.4,69.0,134.0,63,161,5,True
2.6,99.16666666666667,69.25,134.25,63,158,6,True
2.7,71.33333333333333,69.5,72.5,69,75,3,True
2.8,96.75,73.75,111.0,70,141,4,True
2.9,99.66666666666667,82.5,106.25,70,151,6,True
3.0,94.75,68.0,109.75,62,151,4,True
3.1,79.16666666666667,67.0,83.25,62,106,6,True
3.2,81.2,75.0,84.0,62,106,5,True
3.3,87.5,80.5,95.5,70,103,4,True
3.4,101.0,92.5,109.5,84,118,2,True
3.5,102.0,94.0,115.5,75,118,3,True
3.6,83.33333333333333,68.5,94.0,62,113,3,True
3.7,100.0,87.5,112.5,75,125,2,True
3.8,137.0,137.0,137.0,137,137,1,True
3.9,85.5,84.75,86.25,84,87,2,True
4.0,77.0,72.0,82.0,67,87,2,True
4.1,120.0,101.0,139.0,82,158,2,True
4.2,102.0,74.0,119.5,67,158,3,True
4.3,84.66666666666667,74.0,93.5,67,106,3,True
4.4,87.5,78.25,96.75,69,106,2,True
4.5,91.0,80.0,102.0,69,113,2,True
4.6,110.5,95.25,122.25,63,165,4,True
4.7,95.66666666666667,89.5,103.0,81,108,3,True
4.8,113.25,97.75,126.0,67,165,4,True
4.9,115.33333333333333,90.0,139.5,67,166,3,True
5.0,139.5,126.25,152.75,113,166,2,True
5.1,123.33333333333333,102.0,147.5,75,166,3,True
5.2,79.5,73.5,85.5,63,96,4,True
5.3,97.0,89.0,104.5,82,113,3,True
5.4,111.2,86.0,139.0,70,165,5,True
5.5,117.5,89.5,145.5,70,165,4,True
5.6,133.4,132.0,141.0,94,161,5,True
5.7,150.75,148.5,165.25,111,166,4,True
5.9,107.0,77.5,123.5,74,166,3,True
6.0,149.0,140.5,156.0,135,166,3,True
6.1,127.5,114.25,140.75,101,154,2,True
6.2,130.0,121.5,138.5,113,147,3,True
6.3,145.5,135.25,155.75,125,166,2,True
6.4,125.0,108.0,144.5,86,159,3,True
6.5,112.66666666666667,101.5,134.5,69,135,3,True
6.6,112.66666666666667,102.0,122.5,93,134,3,True
6.7,101.25,77.5,119.75,67,146,4,True
6.8,114.0,86.5,141.5,67,161,4,True
6.9,123.5,110.5,136.5,103,144,4,True
7.0,144.0,135.5,152.5,127,161,3,True
7.1,120.0,116.5,126.0,108,127,3,True
7.2,128.5,120.75,136.25,113,144,2,True
7.3,149.0,149.0,149.0,149,149,1,True
7.4,128.5,118.25,138.75,108,149,2,True
7.5,129.66666666666666,115.5,140.5,108,158,3,True
7.6,72.5,67.75,77.25,63,82,2,True
7.7,72.5,67.75,77.25,63,82,2,True
7.8,103.8,72.0,117.0,63,161,5,True
7.9,123.66666666666667,112.5,131.5,108,146,3,True
8.0,149.33333333333334,141.5,155.5,137,165,3,True
8.1,112.25,102.25,127.5,70,144,4,True
8.2,126.5,107.75,156.75,65,165,4,True
8.3,91.33333333333333,76.0,104.5,65,122,3,True
8.4,132.0,116.25,147.75,99,165,4,True
8.5,121.0,109.5,132.5,98,144,2,True
8.6,131.25,104.5,159.75,94,165,4,True
8.7,103.2,86.0,129.0,63,144,5,True
8.8,107.6,86.0,135.0,79,144,5,True
8.9,126.5,113.0,141.75,79,161,6,True
9.0,112.8,89.0,144.0,70,151,5,True
9.1,106.75,95.75,119.0,86,125,4,True
9.2,99.4,77.0,117.0,70,147,5,True
9.3,99.4,77.0,117.0,70,147,5,True
9.4,87.0,78.5,91.5,77,105,4,True
9.5,104.6,77.0,117.0,74,144,5,True
9.6,123.8,118.0,144.0,77,153,5,True
9.7,113.5,75.25,149.25,62,153,6,True
9.8,107.5,75.25,136.5,62,144,6,True
9.9,95.4,65.0,118.0,62,165,5,True
10.0,110.83333333333333,76.5,137.5,62,165,6,True
10.1,106.6,65.0,129.0,62,159,5,True
10.2,104.2,65.0,129.0,62,154,5,True
10.3,99.4,74.0,125.0,63,130,5,True
10.4,105.5,97.5,125.5,60,127,4,True
10.5,98.4,99.0,106.0,60,122,5,True
10.6,117.16666666666667,100.5,146.75,60,154,6,True
10.7,89.0,76.5,105.0,60,111,4,True
10.8,106.5,96.5,112.5,89,132,4,True
10.9,101.0,97.5,107.0,89,108,3,True
11.0,112.5,101.75,117.75,89,147,4,True
11.1,97.5,96.75,98.25,96,99,2,True
11.2,109.66666666666667,97.5,116.5,96,134,3,True
11.3,116.5,107.75,125.25,99,134,2,True
11.4,92.2,67.0,99.0,65,134,5,True
11.5,98.25,74.5,110.25,67,153,4,True
11.6,99.0,66.0,116.0,65,165,3,True
11.7,103.2,77.0,127.0,62,154,5,True
11.8,114.33333333333333,94.5,140.5,62,154,3,True
11.9,125.66666666666667,111.5,133.5,110,154,3,True
12.0,140.0,133.0,149.0,122,154,3,True
12.1,138.5,127.0,147.75,122,154,6,True
12.2,120.0,93.5,145.0,79,161,7,True
12.3,125.16666666666667,124.0,138.75,62,166,6,True
12.4,118.28571428571429,108.5,134.5,62,153,7,True
12.5,138.0,127.75,158.75,93,161,6,True
12.6,120.0,86.25,158.5,69,166,6,True
12.7,100.0,67.5,137.25,62,161,6,True
12.8,102.0,79.75,118.5,62,161,6,True
12.9,104.0,79.75,121.5,62,161,6,True
13.0,71.33333333333333,69.5,72.5,69,75,3,True
13.1,87.0,73.75,97.25,70,110,4,True
13.2,95.16666666666667,67.75,117.75,62,165,6,True
13.3,104.5,76.75,126.5,67,161,6,True
13.4,130.28571428571428,114.0,146.5,103,165,7,True
13.5,119.6,118.0,129.0,67,161,5,True
13.6,122.0,103.0,142.5,79,161,6,True
13.7,112.0,99.25,126.25,63,161,6,True
13.8,128.0,131.25,140.5,62,161,6,True
13.9,138.0,136.0,153.75,94,161,6,True
14.0,141.2,139.0,147.0,130,149,5,True
14.1,141.0,130.75,158.75,106,161,4,True
