distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-05-07,127,0.198941171169281
0.1,2018,2018-05-07,127,0.18980640172958374
0.2,2018,2018-06-24,175,0.2504707872867584
0.3,2018,2018-08-23,235,0.554688036441803
0.4,2018,2018-06-24,175,0.8828968405723572
0.5,2018,2018-04-13,103,0.8473637700080872
0.6,2018,2018-04-13,103,0.7085244655609131
0.7,2018,2018-08-23,235,1.0759834051132202
0.8,2018,2018-08-23,235,1.0325757265090942
0.9,2018,2018-08-23,235,1.052057147026062
1.0,2018,2018-05-31,151,0.8466245532035828
1.1,2018,2018-08-23,235,0.9050635695457458
1.2,2018,2018-04-13,103,0.8279638290405273
1.3,2018,2018-08-23,235,0.6195546388626099
1.4,2018,2018-04-13,103,0.5937635898590088
1.5,2018,2018-04-13,103,0.8554478883743286
1.6,2018,2018-05-31,151,0.6985597014427185
1.7,2018,2018-03-08,67,0.4760269522666931
1.8,2018,2018-05-19,139,0.43545469641685486
1.9,2018,2018-04-13,103,0.4622761607170105
2.0,2018,2018-10-10,283,0.4876560866832733
2.1,2018,2018-08-23,235,0.7988971471786499
2.2,2018,2018-08-23,235,0.7913517355918884
2.3,2018,2018-08-23,235,0.8306981325149536
2.4,2018,2018-07-18,199,0.6736266613006592
2.5,2018,2018-08-23,235,1.3721776008605957
2.6,2018,2018-07-18,199,1.6090461015701294
2.7,2018,2018-05-07,127,1.6062604188919067
2.8,2018,2018-05-07,127,1.4066965579986572
2.9,2018,2018-08-23,235,1.0508675575256348
3.0,2018,2018-07-30,211,0.7314907908439636
3.1,2018,2018-08-23,235,0.7094612717628479
3.2,2018,2018-09-04,247,0.6656680703163147
3.3,2018,2018-09-04,247,0.6660879850387573
3.4,2018,2018-05-07,127,0.6205014586448669
3.5,2018,2018-09-04,247,0.6457234621047974
3.6,2018,2018-09-04,247,0.6784920692443848
3.7,2018,2018-09-04,247,0.6474205851554871
3.8,2018,2018-09-04,247,0.6309992074966431
3.9,2018,2018-08-23,235,0.4804020822048187
4.0,2018,2018-03-20,79,0.6958168745040894
4.1,2018,2018-03-20,79,0.4506312310695648
4.2,2018,2018-07-18,199,0.31904515624046326
4.3,2018,2018-05-07,127,0.30690115690231323
4.4,2018,2018-09-16,259,0.35266172885894775
4.5,2018,2018-09-16,259,0.33635562658309937
4.6,2018,2018-07-30,211,0.4798889458179474
4.7,2018,2018-03-20,79,0.327030748128891
4.8,2018,2018-03-20,79,0.3072623610496521
4.9,2018,2018-07-30,211,0.6695542931556702
5.0,2018,2018-07-30,211,0.5287743806838989
5.1,2018,2018-07-30,211,0.4023612141609192
5.2,2018,2018-05-19,139,0.5094659924507141
5.3,2018,2018-05-19,139,0.440702348947525
5.4,2018,2018-08-11,223,0.35018399357795715
5.5,2018,2018-08-11,223,0.3625306189060211
5.6,2018,2018-08-11,223,0.30837342143058777
5.7,2018,2018-10-10,283,0.24200257658958435
5.8,2018,2018-10-10,283,0.3313796818256378
5.9,2018,2018-10-10,283,0.320759654045105
6.0,2018,2018-10-22,295,0.33051982522010803
6.1,2018,2018-10-22,295,0.3938691318035126
6.2,2018,2018-10-22,295,0.5884493589401245
6.3,2018,2018-10-22,295,0.5009253621101379
6.4,2018,2018-05-07,127,0.5900993943214417
6.5,2018,2018-06-24,175,0.5818922519683838
