distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,111.42857142857143,89.5,133.5,7,True
0.1,126.85714285714286,105.5,139.5,7,True
0.2,154.28571428571428,117.5,166.5,7,True
0.3,171.42857142857142,115.5,224.5,7,True
0.4,128.57142857142858,98.5,160.5,7,True
0.5,149.14285714285714,91.5,196.5,7,True
0.6,144.0,83.0,190.5,7,True
0.7,174.85714285714286,126.5,214.5,7,True
0.8,154.28571428571428,98.5,194.5,7,True
0.9,164.57142857142858,87.5,230.0,7,True
1.0,121.71428571428571,70.0,152.5,7,True
1.1,126.85714285714286,85.5,151.5,7,True
1.2,168.0,105.5,235.0,7,True
1.3,209.14285714285714,186.0,242.5,7,True
1.4,150.85714285714286,112.5,171.5,7,True
1.5,135.42857142857142,105.5,147.5,7,True
1.6,130.28571428571428,100.5,152.5,7,True
1.7,114.85714285714286,84.0,127.5,7,True
1.8,161.14285714285714,120.5,181.0,7,True
1.9,149.14285714285714,96.0,192.0,7,True
2.0,214.28571428571428,132.0,288.0,7,True
2.1,178.28571428571428,107.0,254.0,7,True
2.2,209.14285714285714,152.5,262.5,7,True
2.3,176.57142857142858,133.5,242.0,7,True
2.4,152.57142857142858,125.0,186.0,7,True
2.5,162.85714285714286,147.5,182.5,7,True
2.6,164.57142857142858,133.0,212.5,7,True
2.7,145.71428571428572,128.5,149.5,7,True
2.8,135.42857142857142,104.5,168.0,7,True
2.9,118.28571428571429,94.0,113.5,7,True
3.0,190.28571428571428,164.5,218.0,7,True
3.1,174.85714285714286,139.0,212.5,7,True
3.2,168.0,121.0,211.0,7,True
3.3,186.85714285714286,114.0,251.0,7,True
3.4,183.42857142857142,120.0,259.5,7,True
3.5,183.42857142857142,114.0,246.0,7,True
3.6,204.0,155.5,248.5,7,True
3.7,173.14285714285714,91.5,246.0,7,True
3.8,169.71428571428572,90.0,264.0,7,True
3.9,178.28571428571428,103.0,264.0,7,True
4.0,171.42857142857142,87.5,271.0,7,True
4.1,164.57142857142858,100.0,226.5,7,True
4.2,135.42857142857142,85.5,188.0,7,True
4.3,125.14285714285714,97.5,152.0,7,True
4.4,166.28571428571428,97.5,224.5,7,True
4.5,140.57142857142858,84.0,192.0,7,True
4.6,159.42857142857142,116.5,192.0,7,True
4.7,150.85714285714286,115.5,180.0,7,True
4.8,137.14285714285714,96.0,180.0,7,True
4.9,140.57142857142858,106.5,188.5,7,True
5.0,159.42857142857142,121.0,198.5,7,True
5.1,193.71428571428572,188.5,206.5,7,True
5.2,176.57142857142858,126.0,221.5,7,True
5.3,202.28571428571428,158.5,254.5,7,True
5.4,164.57142857142858,147.5,183.5,7,True
5.5,186.85714285714286,164.5,230.5,7,True
5.6,214.28571428571428,175.0,251.0,7,True
5.7,178.28571428571428,146.5,187.0,7,True
5.8,204.0,183.5,236.5,7,True
5.9,174.85714285714286,134.5,202.5,7,True
6.0,178.28571428571428,153.5,200.5,7,True
6.1,186.85714285714286,167.0,190.0,7,True
6.2,173.14285714285714,146.5,173.0,7,True
6.3,221.14285714285714,186.5,249.5,7,True
6.4,169.71428571428572,117.5,208.0,7,True
6.5,161.14285714285714,150.5,179.5,7,True
6.6,188.57142857142858,143.0,223.0,7,True
6.7,138.85714285714286,107.5,160.0,7,True
6.8,168.0,127.5,213.5,7,True
6.9,188.57142857142858,153.5,234.0,7,True
7.0,125.14285714285714,100.5,147.5,7,True
7.1,150.85714285714286,93.5,201.5,7,True
7.2,161.14285714285714,100.5,207.5,7,True
7.3,126.85714285714286,90.5,169.0,7,True
7.4,140.57142857142858,101.0,181.0,7,True
7.5,188.57142857142858,137.0,243.5,7,True
7.6,190.28571428571428,162.0,215.5,7,True
7.7,154.28571428571428,103.5,181.0,7,True
7.8,204.0,147.5,254.0,7,True
7.9,161.14285714285714,126.0,187.5,7,True
8.0,181.71428571428572,157.5,204.0,7,True
8.1,180.0,128.5,232.5,7,True
8.2,193.71428571428572,165.5,228.0,7,True
8.3,174.85714285714286,147.5,206.0,7,True
8.4,180.0,130.5,240.5,7,True
8.5,200.57142857142858,183.5,227.0,7,True
8.6,135.42857142857142,116.5,149.5,7,True
8.7,150.85714285714286,134.0,162.0,7,True
8.8,200.57142857142858,134.5,267.5,7,True
8.9,185.14285714285714,144.0,218.0,7,True
9.0,157.71428571428572,145.5,177.5,7,True
9.1,205.71428571428572,182.0,234.5,7,True
9.2,152.57142857142858,115.0,201.5,7,True
