s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,604580.6623554184,3974439.3230482647,6236.7075,29.42591,0.10369784
0.1,604680.316931243,3974447.6275962484,6189.0693,44.93059,0.10466145
0.2,604779.9715070674,3974455.932144235,6080.998,40.183315,0.10465399
0.3,604879.6260828921,3974464.236692219,5958.475,40.92249,0.16027498
0.4,604979.2806587166,3974472.541240204,5883.666,41.062225,0.2233013
0.5,605079.0266155138,3974479.431938112,5820.9243,58.718567,0.26694664
0.6,605178.92321026,3974483.932442532,5780.052,76.75634,0.29586545
0.7,605278.92321026,3974483.932442533,5771.636,96.66312,0.32970524
0.8,605378.7888952715,3974479.29468551,5765.436,112.89563,0.34285676
0.9,605478.1093649794,3974468.1478720866,5753.009,117.48757,0.31841034
1.0,605575.8507109398,3974447.4175897553,5734.7534,115.715576,0.29526418
1.1,605667.4471650537,3974408.229667739,5731.6143,111.739,0.27968425
1.2,605742.5379857125,3974343.381372214,5678.884,110.494644,0.27965164
1.3,605801.3549990689,3974262.748600168,5666.1406,131.5609,0.2740472
1.4,605842.551584741,3974171.90817089,5673.496,156.76631,0.27906662
1.5,605863.2732406445,3974074.351517868,5666.085,165.49266,0.29219392
1.6,605863.9877822183,3973974.5720938374,5655.1577,165.23613,0.25252685
1.7,605847.8707748378,3973876.026785505,5648.6577,153.77124,0.20715609
1.8,605818.9234308515,3973780.371691575,5640.384,137.33359,0.19382587
1.9,605779.3578498834,3973688.57383159,5635.571,130.03006,0.19691882
2.0,605733.0900063481,3973599.957308703,5614.2446,123.39183,0.20284367
2.1,605682.86406909,3973513.511981358,5573.483,131.99466,0.23991153
2.2,605638.2646368857,3973424.0437152623,5543.535,149.01979,0.29204237
2.3,605602.4149014535,3973330.751886957,5555.8867,171.37999,0.30601564
2.4,605577.0415883119,3973234.1426186427,5562.453,192.30669,0.3080924
2.5,605565.9750866452,3973134.9137863577,5563.112,211.64655,0.3550977
2.6,605577.7448137758,3973036.1232611407,5559.33,219.77876,0.46123573
2.7,605614.7681321752,3972943.424901968,5553.14,225.33698,0.45865494
2.8,605665.3595077824,3972857.29425294,5536.761,223.36443,0.45853567
2.9,605724.9937607493,3972777.076285293,5520.4824,221.81406,0.36978143
3.0,605789.967740849,3972701.1071545933,5511.017,218.89345,0.31661108
3.1,605858.803082722,3972628.6044464544,5511.5117,199.5923,0.29381254
3.2,605928.6416708841,3972557.0499548214,5518.536,187.41885,0.30730286
3.3,605995.9970503391,3972483.157184283,5507.5156,166.19197,0.31092325
3.4,606060.3247388261,3972406.620377305,5483.551,161.41249,0.30687726
3.5,606120.933908357,3972327.1140626776,5458.6445,158.07869,0.29626808
3.6,606176.9493069785,3972244.3113184473,5447.114,170.99365,0.2896504
3.7,606226.6822981894,3972157.607658865,5447.114,172.01892,0.27298743
3.8,606267.9178598771,3972066.575509452,5443.623,170.9923,0.26010576
3.9,606301.889189205,3971972.5521006635,5426.481,167.24443,0.23688576
4.0,606328.8268125938,3971876.2755387356,5394.502,162.10101,0.21942395
4.1,606348.9967239663,3971778.371527054,5378.9165,167.3417,0.20175678
4.2,606361.4502795428,3971679.1805135566,5362.2197,181.41823,0.18940434
4.3,606365.9750866452,3971579.3284060378,5349.434,200.39465,0.18109879
4.4,606369.2543436432,3971479.4191295533,5342.004,221.15636,0.17623526
4.5,606383.1357911517,3971380.438450329,5343.5513,231.15825,0.17403081
4.6,606409.6579022438,3971284.1339957337,5338.669,239.8436,0.18714517
4.7,606451.6577542162,3971193.55748847,5342.0195,237.13869,0.18439278
4.8,606509.5643454484,3971112.1312353984,5328.1035,231.37543,0.1934928
4.9,606573.7218912093,3971035.4428265397,5307.4775,227.37463,0.18745519
5.0,606640.2856395795,3970960.820930239,5288.673,223.66508,0.17876607
