distance_km,year,onset_date,onset_doy
0.0,2017,2017-04-06,96
0.1,2017,2017-04-06,96
0.2,2017,2017-04-06,96
0.3,2017,2017-04-06,96
0.4,2017,2017-03-01,60
0.5,2017,2017-03-01,60
0.6,2017,2017-03-01,60
0.9,2017,2017-04-06,96
1.0,2017,2017-04-06,96
1.1,2017,2017-03-01,60
1.2,2017,2017-03-25,84
1.3,2017,2017-03-25,84
1.7,2017,2017-03-01,60
1.8,2017,2017-04-18,108
1.9,2017,2017-04-18,108
2.1,2017,2017-03-01,60
2.2,2017,2017-03-01,60
2.3,2017,2017-04-18,108
2.4,2017,2017-04-18,108
2.9,2017,2017-03-13,72
3.0,2017,2017-04-18,108
3.1,2017,2017-04-18,108
3.2,2017,2017-04-18,108
3.8,2017,2017-03-01,60
4.5,2017,2017-03-13,72
4.6,2017,2017-03-01,60
4.7,2017,2017-03-01,60
4.8,2017,2017-03-01,60
4.9,2017,2017-03-01,60
5.0,2017,2017-03-01,60
5.1,2017,2017-03-01,60
5.6,2017,2017-04-06,96
6.9,2017,2017-06-05,156
7.0,2017,2017-04-18,108
7.1,2017,2017-04-18,108
7.4,2017,2017-04-18,108
7.6,2017,2017-03-13,72
7.7,2017,2017-03-13,72
7.8,2017,2017-03-13,72
7.9,2017,2017-03-13,72
8.0,2017,2017-03-13,72
8.1,2017,2017-03-13,72
8.2,2017,2017-03-13,72
8.3,2017,2017-03-13,72
8.4,2017,2017-03-13,72
8.5,2017,2017-03-13,72
8.6,2017,2017-03-01,60
8.7,2017,2017-03-01,60
8.8,2017,2017-03-01,60
8.9,2017,2017-03-01,60
9.0,2017,2017-03-01,60
9.1,2017,2017-03-01,60
9.2,2017,2017-03-01,60
9.3,2017,2017-03-01,60
9.4,2017,2017-03-01,60
9.5,2017,2017-03-01,60
9.6,2017,2017-03-01,60
9.7,2017,2017-03-01,60
9.8,2017,2017-03-25,84
9.9,2017,2017-03-25,84
10.0,2017,2017-03-25,84
10.1,2017,2017-03-25,84
10.2,2017,2017-03-25,84
10.7,2017,2017-03-25,84
10.8,2017,2017-04-06,96
10.9,2017,2017-04-06,96
11.0,2017,2017-04-06,96
11.1,2017,2017-04-06,96
11.2,2017,2017-04-06,96
11.3,2017,2017-04-06,96
11.4,2017,2017-03-25,84
11.5,2017,2017-03-25,84
12.2,2017,2017-05-12,132
12.3,2017,2017-05-12,132
12.4,2017,2017-05-12,132
12.6,2017,2017-06-05,156
12.7,2017,2017-06-05,156
12.8,2017,2017-06-05,156
12.9,2017,2017-06-05,156
