distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,101.16666666666667,93.75,116.0,67,123,6,True
0.1,101.16666666666667,93.75,116.0,67,123,6,True
0.2,107.28571428571429,94.5,122.5,67,132,7,True
0.3,107.28571428571429,94.5,122.5,67,132,7,True
0.4,91.66666666666667,70.5,111.75,60,127,6,True
0.5,86.4,77.0,103.0,60,105,5,True
0.6,86.4,77.0,103.0,60,105,5,True
0.7,106.66666666666667,90.5,116.5,87,139,3,True
0.8,80.5,73.75,87.25,67,94,2,True
0.9,80.0,72.0,86.5,67,96,3,True
1.0,80.0,72.0,86.5,67,96,3,True
1.1,83.0,67.0,94.5,60,115,3,True
1.2,75.5,71.25,79.75,67,84,2,True
1.3,75.5,71.25,79.75,67,84,2,True
1.6,72.0,72.0,72.0,72,72,1,True
1.7,79.0,66.0,88.5,60,105,3,True
1.8,96.0,90.0,102.0,84,108,2,True
1.9,96.0,90.0,102.0,84,108,2,True
2.0,88.5,86.25,90.75,84,93,2,True
2.1,75.0,70.5,82.5,60,84,3,True
2.2,69.0,62.25,74.25,60,81,4,True
2.3,81.0,69.75,87.75,63,108,4,True
2.4,90.0,76.5,108.0,63,108,4,True
2.5,84.0,72.0,94.5,63,108,3,True
2.6,81.0,81.0,81.0,81,81,1,True
2.7,81.0,81.0,81.0,81,81,1,True
2.8,81.0,81.0,81.0,81,81,1,True
2.9,73.33333333333333,69.5,76.5,67,81,3,True
3.0,85.33333333333333,74.0,94.5,67,108,3,True
3.1,85.33333333333333,74.0,94.5,67,108,3,True
3.2,85.33333333333333,74.0,94.5,67,108,3,True
3.3,70.5,69.75,71.25,69,72,2,True
3.4,70.5,69.75,71.25,69,72,2,True
3.5,70.5,69.75,71.25,69,72,2,True
3.6,82.5,77.25,87.75,72,93,2,True
3.7,72.0,72.0,72.0,72,72,1,True
3.8,66.0,63.0,69.0,60,72,2,True
3.9,72.0,72.0,72.0,72,72,1,True
4.0,72.0,71.0,73.0,70,74,2,True
4.1,72.0,71.0,73.0,70,74,2,True
4.2,66.33333333333333,64.5,68.5,62,70,3,True
4.3,71.5,66.75,76.25,62,81,2,True
4.4,77.25,62.75,86.5,62,103,4,True
4.5,79.33333333333333,67.5,87.5,63,103,3,True
4.6,61.5,60.75,62.25,60,63,2,True
4.7,93.5,76.75,110.25,60,127,2,True
4.8,63.5,61.75,65.25,60,67,2,True
4.9,63.5,61.75,65.25,60,67,2,True
5.0,63.5,61.75,65.25,60,67,2,True
5.1,63.5,61.75,65.25,60,67,2,True
5.2,67.0,67.0,67.0,67,67,1,True
5.3,87.5,77.25,97.75,67,108,2,True
5.4,69.5,68.25,70.75,67,72,2,True
5.5,69.5,68.25,70.75,67,72,2,True
5.6,78.33333333333333,69.5,84.0,67,96,3,True
5.7,72.0,72.0,72.0,72,72,1,True
5.8,76.5,74.25,78.75,72,81,2,True
5.9,94.5,87.75,101.25,81,108,2,True
6.0,94.5,87.75,101.25,81,108,2,True
6.1,78.0,70.5,85.5,63,93,2,True
6.2,78.33333333333333,72.0,86.0,63,91,3,True
6.3,78.33333333333333,72.0,86.0,63,91,3,True
6.4,78.33333333333333,72.0,86.0,63,91,3,True
6.5,78.33333333333333,72.0,86.0,63,91,3,True
6.6,84.0,80.0,88.0,77,91,4,True
6.7,83.0,79.0,86.0,77,91,3,True
6.8,83.0,79.0,86.0,77,91,3,True
6.9,100.2,77.0,108.0,69,156,5,True
7.0,87.0,76.5,96.0,69,108,3,True
7.1,104.75,90.75,114.5,84,134,4,True
7.2,85.5,84.75,86.25,84,87,2,True
7.3,85.5,84.75,86.25,84,87,2,True
7.4,92.33333333333333,84.5,97.5,82,108,3,True
7.5,117.5,99.75,135.25,82,153,2,True
7.6,76.75,71.25,81.0,69,87,4,True
7.7,76.75,71.25,81.0,69,87,4,True
7.8,85.75,71.25,94.0,69,115,4,True
7.9,100.0,79.5,114.0,72,141,3,True
8.0,89.0,79.5,97.5,72,108,3,True
8.1,74.5,70.75,75.75,67,87,4,True
8.2,74.5,70.75,75.75,67,87,4,True
8.3,70.33333333333333,69.5,72.0,67,72,3,True
8.4,70.33333333333333,69.5,72.0,67,72,3,True
8.5,77.5,70.75,84.75,67,87,4,True
8.6,73.5,66.75,80.25,60,87,2,True
8.7,73.5,66.75,80.25,60,87,2,True
8.8,84.0,73.5,96.0,60,105,3,True
8.9,73.5,66.75,80.25,60,87,2,True
9.0,85.8,77.0,81.0,60,132,5,True
9.1,93.0,77.0,117.0,60,132,5,True
9.2,96.4,79.0,130.0,60,132,5,True
9.3,73.33333333333333,69.5,80.0,60,81,3,True
9.4,73.33333333333333,69.5,80.0,60,81,3,True
9.5,109.4,79.0,161.0,60,166,5,True
9.6,120.4,91.0,158.0,60,161,5,True
9.7,120.4,91.0,158.0,60,161,5,True
9.8,92.5,82.25,97.75,77,118,4,True
9.9,110.83333333333333,85.75,129.75,77,158,6,True
10.0,87.8,77.0,91.0,69,118,5,True
10.1,90.5,80.25,97.75,69,118,4,True
10.2,104.28571428571429,80.5,125.0,69,159,7,True
10.3,74.0,65.5,80.0,62,91,3,True
10.4,101.25,76.5,118.25,69,149,4,True
10.5,101.25,76.5,118.25,69,149,4,True
10.6,88.5,78.75,98.25,69,108,2,True
10.7,76.5,72.75,80.25,69,84,2,True
10.8,114.5,99.0,130.75,69,161,6,True
10.9,118.6,96.0,135.0,69,166,5,True
11.0,106.0,91.0,108.0,69,166,5,True
11.1,105.5,85.5,113.5,69,166,4,True
11.2,95.5,71.75,119.25,69,134,6,True
11.3,95.5,71.75,119.25,69,134,6,True
11.4,75.0,69.75,78.75,69,84,4,True
11.5,98.83333333333333,73.5,122.25,69,135,6,True
11.6,87.4,69.0,91.0,63,144,5,True
11.7,75.66666666666667,69.25,82.25,63,91,6,True
11.8,75.66666666666667,69.25,82.25,63,91,6,True
11.9,77.5,69.75,84.75,69,87,4,True
12.0,97.16666666666667,73.5,121.5,63,134,6,True
12.1,81.16666666666667,67.5,80.5,63,134,6,True
12.2,100.42857142857143,75.5,131.0,63,134,7,True
12.3,100.42857142857143,75.5,131.0,63,134,7,True
12.4,93.57142857142857,68.0,120.0,63,132,7,True
12.5,111.16666666666667,91.75,128.0,69,147,6,True
12.6,97.0,77.0,107.0,62,156,7,True
12.7,97.0,77.0,107.0,62,156,7,True
12.8,89.85714285714286,67.0,102.5,62,156,7,True
12.9,99.0,68.0,128.25,62,156,8,True
13.0,109.0,78.0,132.0,69,147,7,True
13.1,109.0,78.0,132.0,69,147,7,True
13.2,94.25,78.75,106.0,69,127,4,True
13.3,101.8,82.0,127.0,63,132,5,True
13.4,104.2,87.0,127.0,82,132,5,True
13.5,104.2,87.0,127.0,82,132,5,True
13.6,106.83333333333333,94.5,125.25,70,132,6,True
13.7,115.85714285714286,96.0,135.5,70,158,7,True
13.8,103.85714285714286,83.5,123.5,70,144,7,True
13.9,115.85714285714286,96.0,135.5,70,158,7,True
14.0,115.85714285714286,96.0,135.5,70,158,7,True
14.1,100.5,82.0,121.75,65,144,8,True
14.2,117.16666666666667,94.5,139.75,86,154,6,True
14.3,123.4,99.0,144.0,93,154,5,True
14.4,117.16666666666667,100.75,132.25,93,144,6,True
14.5,117.16666666666667,100.75,132.25,93,144,6,True
14.6,120.83333333333333,110.25,130.75,93,144,6,True
14.7,109.16666666666667,94.5,129.25,72,134,6,True
