distance_km,year,peak_date,peak_doy,peak_val
0.0,2017,2017-10-15,288,0.3273105025291443
0.1,2017,2017-10-15,288,0.3316453993320465
0.2,2017,2017-10-15,288,0.31001994013786316
0.3,2017,2017-04-18,108,0.3050699830055237
0.4,2017,2017-04-18,108,0.42181044816970825
0.5,2017,2017-06-29,180,0.3936164081096649
0.6,2017,2017-04-18,108,0.4042958617210388
0.7,2017,2017-06-29,180,0.37992164492607117
0.8,2017,2017-06-29,180,0.26250797510147095
0.9,2017,2017-09-21,264,0.26355084776878357
1.0,2017,2017-09-21,264,0.26355084776878357
1.1,2017,2017-09-21,264,0.34899070858955383
1.2,2017,2017-03-25,84,0.370395690202713
1.3,2017,2017-03-25,84,0.370395690202713
1.4,2017,2017-09-21,264,0.3599120080471039
1.5,2017,2017-09-21,264,0.3599120080471039
1.6,2017,2017-09-21,264,0.2815695106983185
1.7,2017,2017-09-21,264,0.21931606531143188
1.8,2017,2017-03-25,84,0.2448139786720276
1.9,2017,2017-03-25,84,0.2448139786720276
2.0,2017,2017-10-27,300,0.18711316585540771
2.1,2017,2017-09-09,252,0.177472785115242
2.2,2017,2017-09-09,252,0.17803101241588593
2.3,2017,2017-10-03,276,0.14458337426185608
2.4,2017,2017-03-25,84,0.17678405344486237
2.5,2017,2017-03-25,84,0.15950533747673035
2.6,2017,2017-03-25,84,0.15971039235591888
2.7,2017,2017-03-25,84,0.17494432628154755
2.8,2017,2017-03-25,84,0.19518634676933289
2.9,2017,2017-03-25,84,0.19851979613304138
3.0,2017,2017-03-25,84,0.20010952651500702
3.1,2017,2017-03-25,84,0.20176537334918976
3.2,2017,2017-03-25,84,0.20176537334918976
3.3,2017,2017-03-25,84,0.21005719900131226
3.4,2017,2017-03-25,84,0.23210908472537994
3.5,2017,2017-10-27,300,0.2508322596549988
3.6,2017,2017-09-21,264,0.19244886934757233
3.7,2017,2017-09-21,264,0.2210637480020523
3.8,2017,2017-09-21,264,0.27037060260772705
3.9,2017,2017-09-21,264,0.27330657839775085
4.0,2017,2017-03-13,72,0.18105395138263702
4.1,2017,2017-03-13,72,0.18105395138263702
4.2,2017,2017-04-18,108,0.20834332704544067
4.3,2017,2017-09-21,264,0.2909068465232849
4.4,2017,2017-09-21,264,0.22714705765247345
4.5,2017,2017-03-25,84,0.25938600301742554
4.6,2017,2017-03-25,84,0.24989266693592072
