distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,199.5,144.0,270.75,8,True
0.1,229.5,153.25,285.75,8,True
0.2,214.5,163.25,261.0,8,True
0.3,187.5,133.0,257.25,8,True
0.4,162.0,106.75,198.75,8,True
0.5,177.0,93.25,237.75,8,True
0.6,192.0,106.25,263.25,8,True
0.7,190.5,134.75,244.5,8,True
0.8,193.5,129.25,270.0,8,True
0.9,141.0,78.5,203.25,8,True
1.0,141.0,78.5,203.25,8,True
1.1,186.0,107.75,262.5,8,True
1.2,187.5,107.25,266.0,8,True
1.3,187.5,107.25,266.0,8,True
1.4,180.0,89.0,267.5,8,True
1.5,180.0,89.0,267.5,8,True
1.6,174.0,75.75,267.5,8,True
1.7,178.5,80.0,267.5,8,True
1.8,169.5,82.25,251.75,8,True
1.9,169.5,82.25,251.75,8,True
2.0,156.0,91.25,221.5,8,True
2.1,208.5,199.25,245.25,8,True
2.2,165.0,89.0,239.25,8,True
2.3,184.5,142.25,228.0,8,True
2.4,180.0,142.25,226.5,8,True
2.5,157.5,112.5,217.75,8,True
2.6,157.5,112.5,217.75,8,True
2.7,145.5,89.25,175.5,8,True
2.8,145.5,89.25,175.5,8,True
2.9,147.0,83.25,178.5,8,True
3.0,150.0,83.25,178.5,8,True
3.1,166.5,83.25,232.25,8,True
3.2,166.5,83.25,232.25,8,True
3.3,171.0,83.25,260.75,8,True
3.4,166.5,91.5,260.75,8,True
3.5,171.0,112.5,251.75,8,True
3.6,169.5,92.0,268.75,8,True
3.7,112.5,71.5,123.5,8,True
3.8,153.0,73.5,268.75,8,True
3.9,175.5,73.5,275.5,8,True
4.0,151.5,73.5,274.5,8,True
4.1,151.5,73.5,274.5,8,True
4.2,141.0,76.25,192.75,8,True
4.3,189.0,83.75,274.5,8,True
4.4,208.5,146.0,277.5,8,True
4.5,186.0,85.5,277.5,8,True
4.6,186.0,85.5,277.5,8,True
4.7,157.5,82.25,230.25,8,True
4.8,147.0,78.5,225.5,8,True
4.9,153.0,94.0,225.5,8,True
5.0,174.0,94.0,256.5,8,True
5.1,175.5,99.25,258.75,8,True
5.2,148.5,78.5,225.5,8,True
5.3,151.5,78.5,225.5,8,True
5.4,133.5,90.25,145.5,8,True
5.5,153.0,90.25,228.75,8,True
5.6,177.0,120.75,228.75,8,True
5.7,147.0,101.5,168.0,8,True
5.8,180.0,129.0,223.5,8,True
5.9,172.5,129.0,219.25,8,True
6.0,136.5,103.5,170.5,8,True
6.1,150.0,104.25,191.75,8,True
6.2,171.0,104.25,232.75,8,True
6.3,183.0,104.25,254.75,8,True
6.4,162.0,90.25,232.75,8,True
6.5,162.0,90.25,232.75,8,True
6.6,153.0,90.0,219.0,8,True
6.7,187.5,103.75,247.25,8,True
6.8,187.5,103.75,247.25,8,True
6.9,177.0,108.0,247.25,8,True
7.0,160.5,103.75,231.75,8,True
7.1,144.0,90.0,165.75,8,True
7.2,150.0,105.75,168.0,8,True
7.3,150.0,105.75,168.0,8,True
7.4,210.0,192.0,260.25,8,True
7.5,163.5,80.75,236.75,8,True
7.6,157.5,83.5,223.5,8,True
7.7,157.5,83.5,223.5,8,True
7.8,175.5,105.75,223.5,8,True
7.9,172.5,95.75,223.5,8,True
8.0,157.5,86.75,217.75,8,True
8.1,174.0,86.75,226.5,8,True
8.2,178.5,118.5,223.5,8,True
8.3,171.0,102.75,223.5,8,True
8.4,178.5,102.75,235.5,8,True
8.5,192.0,140.75,235.5,8,True
8.6,181.5,131.25,235.5,8,True
8.7,127.5,82.25,178.5,8,True
8.8,154.5,86.25,217.75,8,True
8.9,160.5,86.25,230.5,8,True
9.0,147.0,100.5,170.25,8,True
9.1,139.5,90.75,170.25,8,True
9.2,135.0,91.5,146.5,8,True
9.3,112.5,86.25,139.25,8,True
9.4,112.5,86.25,139.25,8,True
9.5,132.0,95.25,162.25,8,True
9.6,126.0,92.25,163.25,8,True
9.7,126.0,92.25,163.25,8,True
9.8,103.5,90.0,119.0,8,True
9.9,112.5,86.25,127.5,8,True
10.0,99.0,85.5,109.75,8,True
10.1,172.5,99.75,274.25,8,True
10.2,151.5,121.5,166.25,8,True
10.3,187.5,89.25,278.25,8,True
10.4,165.0,89.25,240.75,8,True
10.5,165.0,89.25,240.75,8,True
10.6,165.0,101.5,219.75,8,True
10.7,190.5,105.0,283.0,8,True
10.8,147.0,91.25,182.75,8,True
10.9,138.0,80.75,182.75,8,True
11.0,208.5,128.5,281.5,8,True
11.1,163.5,108.0,238.5,8,True
11.2,169.5,133.75,196.5,8,True
11.3,169.5,133.75,196.5,8,True
11.4,133.5,115.5,151.5,8,True
11.5,132.0,117.75,144.5,8,True
11.6,187.5,144.25,234.0,8,True
11.7,187.5,92.75,253.75,8,True
11.8,187.5,92.75,253.75,8,True
11.9,184.5,154.5,233.5,8,True
12.0,174.0,132.0,210.0,8,True
12.1,154.5,134.25,148.0,8,True
12.2,148.5,131.25,148.75,8,True
12.3,148.5,131.25,148.75,8,True
12.4,159.0,132.25,172.5,8,True
12.5,165.0,136.25,167.25,8,True
12.6,180.0,133.5,228.5,8,True
12.7,180.0,133.5,228.5,8,True
12.8,153.0,99.25,192.5,8,True
12.9,144.0,133.5,156.75,8,True
13.0,159.0,128.25,165.0,8,True
13.1,159.0,128.25,165.0,8,True
13.2,151.5,128.25,151.5,8,True
13.3,153.0,132.0,142.75,8,True
13.4,156.0,132.0,155.25,8,True
13.5,156.0,132.0,155.25,8,True
13.6,135.0,104.25,133.75,8,True
13.7,147.0,126.75,140.25,8,True
13.8,144.0,122.25,140.25,8,True
13.9,130.5,122.25,137.5,8,True
14.0,130.5,122.25,137.5,8,True
14.1,127.5,126.75,137.5,8,True
14.2,145.5,134.25,146.5,8,True
14.3,157.5,133.5,157.5,8,True
14.4,162.0,131.5,171.75,8,True
14.5,160.5,128.5,171.75,8,True
14.6,154.5,131.25,146.25,8,True
14.7,156.0,129.75,151.5,8,True
14.8,156.0,129.75,151.5,8,True
14.9,166.5,133.0,169.5,8,True
15.0,157.5,137.25,148.75,8,True
15.1,157.5,137.25,148.75,8,True
15.2,136.5,130.5,144.75,8,True
15.3,139.5,133.5,144.75,8,True
15.4,138.0,132.75,144.75,8,True
15.5,144.0,132.75,152.25,8,True
15.6,166.5,132.75,179.25,8,True
15.7,181.5,136.5,206.75,8,True
15.8,162.0,132.75,170.5,8,True
15.9,177.0,136.5,203.0,8,True
16.0,177.0,136.5,203.0,8,True
16.1,183.0,134.25,238.25,8,True
16.2,189.0,137.25,238.25,8,True
16.3,189.0,137.25,238.25,8,True
16.4,174.0,133.75,193.25,8,True
16.5,150.0,119.5,149.25,8,True
16.6,150.0,119.5,149.25,8,True
16.7,142.5,119.5,149.25,8,True
16.8,129.0,115.5,140.75,8,True
16.9,117.0,95.75,137.5,8,True
17.0,147.0,126.0,155.25,8,True
17.1,148.5,135.75,155.25,8,True
17.2,148.5,135.75,155.25,8,True
17.3,148.5,135.75,155.25,8,True
17.4,157.5,138.5,161.25,8,True
17.5,142.5,134.25,144.5,8,True
17.6,139.5,129.0,140.75,8,True
17.7,154.5,129.0,165.75,8,True
17.8,136.5,111.5,146.25,8,True
17.9,166.5,130.75,182.25,8,True
18.0,166.5,130.75,182.25,8,True
18.1,184.5,128.5,240.5,8,True
18.2,150.0,125.25,169.5,8,True
18.3,180.0,149.75,194.25,8,True
18.4,166.5,130.75,183.75,8,True
18.5,153.0,119.5,165.75,8,True
18.6,181.5,132.75,243.75,8,True
18.7,172.5,132.75,189.75,8,True
18.8,189.0,132.25,240.75,8,True
18.9,180.0,132.25,240.75,8,True
19.0,171.0,132.25,208.5,8,True
19.1,163.5,119.5,203.75,8,True
19.2,163.5,119.5,203.75,8,True
19.3,162.0,119.5,203.75,8,True
19.4,151.5,103.5,203.75,8,True
19.5,151.5,103.5,203.75,8,True
19.6,145.5,114.75,157.25,8,True
19.7,160.5,114.75,225.25,8,True
19.8,163.5,103.5,248.25,8,True
19.9,195.0,151.25,248.25,8,True
20.0,160.5,94.75,230.25,8,True
20.1,154.5,94.75,206.25,8,True
