s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,442876.3902287135,4056120.3375747376,6775.875,20.62396,0.12188955
0.1,442805.6795505951,4056191.0482528564,6735.6724,24.842535,0.12353927
0.2,442734.96887247585,4056261.7589309746,6595.822,18.92564,0.12646744
0.3,442664.2581943578,4056332.469609094,6464.358,20.017857,0.13205053
0.4,442594.6939918832,4056404.280615136,6308.5054,22.18959,0.13687715
0.5,442529.1081695249,4056479.7293400555,6184.6855,28.844433,0.14427537
0.6,442470.3136230584,4056560.5200266656,6184.6855,31.714865,0.15128717
0.7,442423.09269654535,4056648.450313447,6067.325,31.651451,0.14890535
0.8,442402.1567001797,4056745.4327612636,6012.188,33.534935,0.14927801
0.9,442381.9458973502,4056842.70351176,5878.7324,35.320976,0.14722295
1.0,442339.17923283845,4056932.9305444853,5878.7324,36.812504,0.14325045
1.1,442286.8976411295,4057018.1252353885,5787.116,37.48483,0.13985357
1.2,442228.40633749275,4057099.2144267247,5731.913,36.364796,0.13784526
1.3,442166.3114725963,4057177.5853763707,5689.893,33.19315,0.1347588
1.4,442103.226574182,4057255.15348999,5690.204,30.631546,0.13353895
1.5,442043.7724564155,4057335.5297036814,5598.976,29.576649,0.12735477
1.6,441988.76201400964,4057419.000063187,5485.798,26.030361,0.11784335
1.7,441939.205519926,4057505.814933737,5365.2676,25.23291,0.10652687
1.8,441897.24725565576,4057596.5208951477,5282.8633,31.984228,0.09899477
1.9,441864.9193137709,4057691.069673501,5175.1626,49.794624,0.092840485
2.0,441842.8158498572,4057788.527932373,5163.685,77.66864,0.08924135
2.1,441816.725978501,4057885.0355569846,5153.959,94.43013,0.08819173
2.2,441780.59333839867,4057978.2189474273,5142.526,109.048744,0.08710179
2.3,441729.14918301837,4058063.713958342,5131.7275,109.08973,0.08648099
2.4,441655.6614494222,4058130.3187286505,5125.2354,103.987526,0.08645308
2.5,441560.8389520755,4058159.790727955,5104.387,100.25602,0.08508002
2.6,441461.1911238483,4058156.4935072158,5091.547,91.04963,0.084437996
2.7,441363.87342366786,4058134.0361753637,5082.729,71.71258,0.084489875
2.8,441270.5188008142,4058098.4786690944,5060.0664,59.623524,0.08504093
2.9,441182.9047838694,4058050.486492397,5024.3477,47.299934,0.08590883
3.0,441102.5268512701,4057991.1468362305,5003.7886,31.192112,0.0868508
3.1,441030.20472847426,4057922.18249906,4923.404,29.841759,0.08667826
3.2,440966.9168006972,4057844.8362540477,4865.4775,32.93295,0.08727262
3.3,440914.4536532468,4057759.7755060527,4845.998,44.56737,0.08949626
3.4,440874.156211848,4057668.319882442,4808.3887,59.679035,0.09563362
3.5,440846.5783741832,4057572.257799279,4792.423,87.73358,0.10228075
3.6,440807.5550627628,4057480.367828436,4777.52,116.64728,0.10868287
3.7,440753.5267928466,4057396.397893493,4765.047,126.32664,0.114401445
3.8,440689.6368298472,4057319.55123294,4765.047,141.1145,0.11971253
3.9,440617.7445851986,4057250.093667732,4761.9004,147.21141,0.12274842
4.0,440541.1949183587,4057185.801677814,4758.7363,155.71738,0.12538025
4.1,440456.97116479534,4057132.2753742966,4750.553,153.08168,0.12700929
4.2,440365.76586709585,4057091.475031949,4731.626,143.90013,0.12715209
4.3,440270.6007797927,4057060.88175315,4722.045,135.83667,0.12785298
4.4,440173.2593953463,4057038.1494799745,4701.5195,125.66978,0.12855586
4.5,440074.72299437504,4057021.3935474004,4678.802,123.99489,0.12996003
4.6,439975.51225428993,4057009.1943354635,4668.0293,120.30647,0.13310431
4.7,439875.8985872521,4057000.5082652336,4664.7036,113.09952,0.13517651
4.8,439775.98527994286,4056996.3452107613,4655.0405,104.6721,0.13792028
4.9,439676.0222244876,4056994.5711032706,4643.0737,100.3295,0.14284933
5.0,439576.0222244876,4056994.5711032706,4625.6284,99.514885,0.14712016
5.1,439476.07051039056,4056997.5977901784,4585.344,109.41831,0.14818317
5.2,439376.2188224285,4057002.6738088243,4572.7295,129.59213,0.150473
5.3,439276.55100155313,4057010.607607159,4569.7876,151.01831,0.1575867
5.4,439177.28248742037,4057022.680804824,4568.8013,170.98645,0.15950747
5.5,439078.9940252867,4057041.1016048137,4566.215,180.60374,0.18159485
5.6,438983.007063142,4057068.882318423,4559.7754,188.4473,0.19180408
5.7,438893.1642992476,4057112.073762669,4554.995,195.48026,0.187738
5.8,438820.02435488626,4057179.252466716,4545.4624,195.83414,0.17586142
5.9,438762.5715709198,4057260.8243359383,4531.8633,192.96184,0.16768388
6.0,438723.013660108,4057352.3653435037,4519.8433,193.90755,0.15503499
6.1,438704.0244680954,4057450.2708348106,4512.3433,203.7537,0.14540733
6.2,438699.3854402603,4057550.054962388,4504.8677,216.88966,0.13081291
6.3,438681.8959242175,4057648.363009791,4498.922,225.50697,0.12938513
6.4,438651.85178700945,4057743.656555759,4494.0225,234.38704,0.12519906
6.5,438611.8326331768,4057835.2552447235,4489.7983,240.78839,0.123544544
6.6,438564.8165643807,4057923.471329603,4483.871,236.63979,0.13422136
