distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,90.5,65.5,110.25,60,146,6,True
0.1,105.2,99.0,108.0,67,146,5,True
0.2,95.66666666666667,73.5,105.75,67,146,6,True
0.3,76.4,67.0,86.0,60,99,5,True
0.4,76.4,67.0,86.0,60,99,5,True
0.5,96.0,84.0,122.0,60,127,5,True
0.6,124.5,99.75,150.5,62,154,6,True
0.7,101.6,67.0,141.0,62,154,5,True
0.8,96.8,84.0,94.0,62,151,5,True
0.9,96.8,84.0,94.0,62,151,5,True
1.0,82.4,72.0,93.0,67,106,5,True
1.1,82.4,74.0,84.0,67,106,5,True
1.2,103.5,79.75,130.25,67,134,4,True
1.3,116.2,108.0,135.0,67,137,5,True
1.4,102.0,77.75,117.75,74,147,4,True
1.5,102.0,77.75,117.75,74,147,4,True
1.6,99.0,81.5,103.0,74,151,4,True
1.7,104.33333333333333,79.5,120.5,72,154,3,True
1.8,95.0,65.25,112.75,60,154,4,True
1.9,64.0,62.5,66.0,60,67,3,True
2.0,64.0,62.5,66.0,60,67,3,True
2.1,64.0,62.5,66.0,60,67,3,True
2.2,113.2,86.0,153.0,60,166,5,True
2.3,120.4,93.0,137.0,72,166,5,True
2.4,137.0,137.0,137.0,137,137,1,True
2.5,137.0,137.0,137.0,137,137,1,True
2.6,100.0,73.0,120.0,60,154,3,True
3.1,117.66666666666667,102.0,146.5,60,149,3,True
3.4,60.0,60.0,60.0,60,60,1,True
3.5,95.33333333333333,69.5,113.0,60,147,3,True
3.6,147.0,147.0,147.0,147,147,1,True
3.7,103.6,72.0,129.0,60,147,5,True
3.8,103.6,72.0,129.0,60,147,5,True
3.9,114.0,99.25,135.75,67,147,4,True
4.0,83.0,69.5,91.0,67,110,3,True
4.1,83.0,69.5,91.0,67,110,3,True
4.3,116.66666666666667,96.0,133.0,84,158,3,True
4.4,92.2,84.0,108.0,65,110,5,True
4.5,92.2,84.0,108.0,65,110,5,True
4.6,100.0,73.75,109.5,65,156,6,True
4.7,98.4,69.0,108.0,65,156,5,True
4.8,88.5,78.75,98.25,69,108,2,True
4.9,113.0,110.5,115.5,108,118,2,True
5.0,141.0,128.5,150.5,127,161,4,True
5.1,147.0,147.0,147.0,147,147,1,True
5.2,152.5,149.25,155.75,146,159,2,True
5.3,146.0,146.0,146.0,146,146,1,True
5.4,105.66666666666667,86.5,121.5,74,144,3,True
5.5,90.0,69.75,95.75,63,146,4,True
5.6,104.0,83.0,124.5,63,146,3,True
5.7,98.66666666666667,65.0,116.5,63,166,3,True
5.8,96.0,75.5,109.0,63,129,6,True
5.9,87.4,86.0,94.0,63,101,5,True
6.0,100.2,86.0,101.0,69,151,5,True
6.1,122.5,108.25,136.75,94,151,2,True
6.2,99.0,69.75,120.25,63,151,4,True
6.3,114.5,88.75,140.25,63,166,2,True
6.4,63.0,63.0,63.0,63,63,1,True
6.5,116.5,94.25,138.75,72,161,2,True
6.6,74.5,73.25,75.75,72,77,2,True
7.0,70.0,70.0,70.0,70,70,1,True
7.8,104.5,94.25,114.75,84,125,2,True
7.9,104.5,94.25,114.75,84,125,2,True
8.0,91.6,81.0,101.0,62,130,5,True
8.1,95.33333333333333,63.5,112.0,62,159,3,True
8.2,82.0,65.0,84.0,62,130,5,True
8.3,123.66666666666667,107.5,133.0,105,156,3,True
8.4,123.66666666666667,107.5,133.0,105,156,3,True
8.5,88.75,69.0,108.25,60,118,4,True
8.6,82.5,77.25,87.75,72,93,2,True
8.7,82.5,77.25,87.75,72,93,2,True
8.8,72.66666666666667,68.5,79.0,60,81,3,True
8.9,159.5,156.25,162.75,153,166,2,True
9.0,72.0,72.0,72.0,72,72,1,True
9.1,72.0,72.0,72.0,72,72,1,True
9.2,60.0,60.0,60.0,60,60,1,True
9.3,64.66666666666667,62.5,67.0,60,69,3,True
9.4,64.66666666666667,62.5,67.0,60,69,3,True
9.5,96.0,77.0,101.5,65,154,4,True
9.6,92.66666666666667,76.5,104.5,69,125,3,True
9.7,102.0,71.25,117.25,69,166,4,True
9.8,101.14285714285714,76.5,120.5,62,151,7,True
9.9,101.14285714285714,76.5,120.5,62,151,7,True
10.0,127.5,113.5,149.5,72,153,8,True
10.1,118.5,113.75,131.75,72,147,8,True
10.2,112.71428571428571,108.0,118.5,84,137,7,True
10.3,100.71428571428571,81.5,113.5,70,137,7,True
10.4,115.66666666666667,94.75,132.0,84,159,6,True
10.5,129.33333333333334,113.5,139.0,110,161,3,True
10.6,84.0,84.0,84.0,84,84,1,True
10.7,100.66666666666667,68.5,121.0,60,165,3,True
10.8,100.66666666666667,74.5,115.0,72,153,3,True
10.9,94.5,69.5,112.5,62,141,4,True
11.0,94.5,69.5,112.5,62,141,4,True
11.1,88.0,79.0,96.0,72,106,3,True
12.6,149.0,149.0,149.0,149,149,1,True
12.7,149.0,149.0,149.0,149,149,1,True
12.8,149.0,149.0,149.0,149,149,1,True
12.9,137.0,137.0,137.0,137,137,1,True
13.0,137.0,137.0,137.0,137,137,1,True
13.1,137.0,137.0,137.0,137,137,1,True
13.2,137.0,137.0,137.0,137,137,1,True
13.3,137.0,137.0,137.0,137,137,1,True
13.5,132.0,132.0,132.0,132,132,1,True
13.6,125.0,125.0,125.0,125,125,1,True
13.7,125.0,125.0,125.0,125,125,1,True
13.8,141.33333333333334,129.5,149.5,125,165,3,True
13.9,113.33333333333333,103.0,119.5,101,134,3,True
14.0,109.33333333333333,97.0,117.5,93,134,3,True
14.1,108.66666666666667,94.5,121.0,84,137,3,True
14.2,94.5,89.25,99.75,84,105,2,True
14.3,94.5,89.25,99.75,84,105,2,True
14.4,117.5,93.75,141.25,70,165,2,True
15.9,165.0,165.0,165.0,165,165,1,True
16.0,165.0,165.0,165.0,165,165,1,True
16.2,165.0,165.0,165.0,165,165,1,True
16.7,135.5,131.25,139.75,127,144,2,True
16.8,144.0,144.0,144.0,144,144,1,True
16.9,144.0,144.0,144.0,144,144,1,True
17.0,132.0,132.0,132.0,132,132,1,True
17.1,129.0,129.0,129.0,129,129,1,True
17.2,149.0,149.0,149.0,149,149,1,True
17.3,149.0,149.0,149.0,149,149,1,True
18.1,117.5,104.25,130.75,91,144,2,True
18.2,118.33333333333333,105.5,132.0,91,144,3,True
18.3,115.6,84.0,144.0,79,154,5,True
18.4,119.4,117.0,137.0,79,144,5,True
18.5,92.0,79.5,99.5,77,117,3,True
18.6,109.0,105.0,113.0,101,117,2,True
18.7,81.0,81.0,81.0,81,81,1,True
18.8,81.0,81.0,81.0,81,81,1,True
18.9,94.5,81.75,107.25,69,120,2,True
19.0,76.0,67.5,81.5,65,93,3,True
19.1,96.6,82.0,105.0,63,132,5,True
19.2,84.0,84.0,84.0,84,84,1,True
19.3,110.5,97.25,123.75,84,137,2,True
19.4,112.0,95.25,119.75,93,149,4,True
19.5,78.2,72.0,87.0,65,93,5,True
19.6,103.0,91.0,120.0,74,137,5,True
19.7,103.0,91.0,132.0,62,137,5,True
19.8,103.6,93.0,108.0,86,137,5,True
19.9,108.6,94.0,99.0,93,161,5,True
20.0,118.0,94.0,146.0,93,161,5,True
20.1,90.8,93.0,99.0,65,103,5,True
20.2,90.8,93.0,99.0,65,103,5,True
20.3,100.83333333333333,94.5,107.75,82,120,6,True
20.4,111.0,99.0,117.0,82,156,5,True
20.5,111.0,99.0,117.0,82,156,5,True
20.6,103.25,80.25,114.5,69,161,4,True
20.7,93.5,67.25,102.75,62,159,4,True
20.8,97.25,89.25,105.5,69,125,4,True
20.9,110.8,93.0,137.0,74,154,5,True
21.0,95.5,75.25,95.25,62,161,6,True
21.1,91.5,67.75,95.25,62,161,6,True
21.2,96.0,65.0,124.5,62,161,7,True
21.3,108.0,70.0,156.0,62,159,5,True
21.4,111.16666666666667,83.25,138.75,70,159,6,True
21.5,100.83333333333333,71.0,137.25,63,161,6,True
21.6,100.83333333333333,71.0,137.25,63,161,6,True
21.7,74.0,64.5,80.5,62,96,6,True
21.8,89.14285714285714,69.5,98.5,63,151,7,True
21.9,100.0,69.25,138.0,62,159,6,True
22.0,91.57142857142857,79.0,100.0,69,118,7,True
22.1,113.16666666666667,94.5,130.75,74,154,6,True
22.2,113.16666666666667,94.5,130.75,74,154,6,True
22.3,100.8,96.0,117.0,74,118,5,True
22.4,86.83333333333333,78.75,95.5,65,99,6,True
22.5,90.83333333333333,66.25,97.5,62,156,6,True
22.6,97.71428571428571,74.5,115.5,62,161,7,True
22.7,80.83333333333333,74.75,85.5,70,96,6,True
22.8,82.28571428571429,76.5,85.5,70,101,7,True
22.9,96.0,84.0,98.5,70,146,7,True
23.0,96.0,84.0,98.5,70,146,7,True
23.1,74.83333333333333,69.25,81.5,65,87,6,True
23.2,82.28571428571429,72.0,89.0,69,101,7,True
23.3,85.71428571428571,69.5,85.5,65,146,7,True
23.4,78.0,71.5,81.75,65,99,8,True
23.5,78.85714285714286,72.0,82.5,65,99,7,True
23.6,79.5,71.5,84.75,65,99,8,True
23.7,79.5,71.5,84.75,65,99,8,True
23.8,75.0,68.75,79.5,63,96,8,True
23.9,76.5,68.75,83.5,63,96,8,True
24.0,75.0,68.75,81.75,63,91,8,True
24.1,76.5,68.75,84.5,63,91,8,True
24.2,73.5,68.0,76.5,63,91,8,True
24.3,85.71428571428571,68.5,90.0,65,134,7,True
24.4,78.0,69.25,88.5,65,96,8,True
24.5,78.0,69.25,88.5,65,96,8,True
24.6,84.0,73.5,92.25,70,101,8,True
24.7,82.28571428571429,69.5,93.5,62,101,7,True
24.8,76.5,68.75,84.75,62,91,8,True
24.9,82.28571428571429,69.5,95.0,62,101,7,True
25.0,76.14285714285714,67.5,82.5,62,99,7,True
25.1,73.5,68.75,79.5,62,87,8,True
25.2,73.5,68.75,79.5,62,87,8,True
25.3,81.0,71.5,88.0,62,101,8,True
25.4,80.57142857142857,69.5,89.0,62,101,7,True
25.5,80.83333333333333,71.0,86.25,69,101,6,True
25.6,82.83333333333333,75.75,86.25,70,101,6,True
25.7,82.83333333333333,75.75,86.25,70,101,6,True
25.8,84.83333333333333,76.5,91.5,70,101,6,True
25.9,84.83333333333333,76.5,91.5,70,101,6,True
26.0,77.14285714285714,67.5,85.5,62,91,7,True
26.1,81.0,71.5,88.0,62,101,8,True
26.2,81.0,71.5,88.0,62,101,8,True
26.3,82.5,71.5,92.25,62,101,8,True
26.4,78.0,68.5,89.25,62,101,8,True
26.5,78.83333333333333,69.25,90.5,65,99,6,True
26.6,78.83333333333333,69.25,90.5,65,99,6,True
26.7,76.83333333333333,66.25,83.25,62,99,6,True
26.8,78.85714285714286,72.0,82.5,65,99,7,True
26.9,75.42857142857143,67.5,80.0,62,99,7,True
27.0,77.14285714285714,67.5,85.5,62,91,7,True
27.1,77.14285714285714,67.5,85.5,62,91,7,True
27.2,80.83333333333333,66.25,91.5,62,108,6,True
27.3,73.71428571428571,66.0,82.5,62,87,7,True
27.4,82.28571428571429,76.5,85.5,70,101,7,True
27.5,84.0,76.5,90.0,70,101,7,True
27.6,82.5,73.5,88.0,70,101,8,True
27.7,84.0,77.5,89.0,70,101,7,True
27.8,75.42857142857143,68.5,82.5,62,87,7,True
27.9,80.57142857142857,75.5,85.5,70,91,7,True
28.0,87.42857142857143,74.5,84.0,70,146,7,True
28.1,87.42857142857143,74.5,84.0,70,146,7,True
28.2,85.5,72.0,95.75,67,110,8,True
28.3,85.42857142857143,72.0,90.5,67,129,7,True
28.4,85.42857142857143,72.0,90.5,67,129,7,True
28.5,85.42857142857143,74.5,84.5,72,129,7,True
28.6,86.71428571428571,67.0,101.0,60,129,7,True
28.7,90.14285714285714,75.5,103.5,62,129,7,True
28.8,107.71428571428571,81.5,136.5,63,161,7,True
28.9,85.6,84.0,91.0,63,106,5,True
29.0,86.71428571428571,72.0,98.5,63,117,7,True
29.1,86.71428571428571,72.0,98.5,63,117,7,True
29.2,86.71428571428571,75.5,96.0,63,117,7,True
29.3,96.0,69.75,110.25,62,161,8,True
29.4,91.5,69.75,110.25,62,125,8,True
29.5,105.0,93.25,118.25,84,125,8,True
29.6,105.0,93.25,118.25,84,125,8,True
29.7,93.0,80.25,108.5,63,125,8,True
29.8,91.5,76.5,109.75,60,125,8,True
29.9,99.0,75.0,115.25,60,158,8,True
30.0,109.5,90.75,139.25,60,151,8,True
30.1,95.71428571428571,80.0,103.5,60,149,7,True
30.2,87.25,69.0,103.75,60,118,4,True
30.3,92.5,69.0,105.0,60,147,4,True
30.4,63.5,61.75,65.25,60,67,2,True
30.48,63.5,61.75,65.25,60,67,2,True
