rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,surge_type,term_type,glac_name,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m,elev_min,elev_max,elev_mean,elev_count,elev_std,elev_median,elev_p25,elev_p75,elev_frac_covered,elev_relief,thick_mean,thick_count,thick_std,thick_median,thick_p25,thick_p75,thick_frac_covered,winter_mean,winter_median,winter_std,winter_p25,winter_p75,winter_count,winter_frac_covered,summer_mean,summer_median,summer_std,summer_p25,summer_p75,summer_count,summer_frac_covered,season_delta_md_mean,season_delta_md_median,season_delta_md_count,season_delta_md_frac_covered,season_delta_pct_mean,season_delta_pct_median,season_delta_pct_count,season_delta_pct_frac_covered,vel17_21_mean,vel17_21_median,vel17_21_std,vel17_21_count,vel17_21_frac_covered,vel21_25_mean,vel21_25_median,vel21_25_std,vel21_25_count,vel21_25_frac_covered,vel_delta_md,vel_delta_pct,trend_pctyr_mean,trend_pctyr_median,trend_pctyr_std,trend_pctyr_count,trend_pctyr_frac_covered
RGI2000-v7.0-G-14-07778,14,14-02,G073957E36771N,833718,752,2001-07-11T00:00:00,73.95347931836048,36.763239999999996,43,10.749176387667216,0,0,0,9,,0,73.99511096377539,36.79235923935777,3494.2595,5973.665,4495.379,4457.2466,16.995188,51.599346,2,COPDEM30,9531,4437.73779296875,4544.2666015625,4486.2373046875,16.0,31.24799773286715,4487.130859375,4457.8924560546875,4511.0489501953125,1.0,106.52880859375,149.56040581597222,90.0,14.512640664675677,155.87979125976562,140.89119338989258,160.1402359008789,1.0,0.10156945713230821,0.10670524090528488,0.07558004735298561,0.0210956372320652,0.17966794967651367,61.0,1.0,0.06400948524475097,0.07144659757614136,0.036248052797216615,0.03225772734731436,0.0948381070047617,50.0,1.0,-0.059198002815246585,-0.06677404046058655,50.0,1.0,-47.699931640625,-49.14177703857422,50.0,1.0,0.07564749483202325,0.08337339758872986,0.05394464036012886,61.0,1.0,0.07415916880623238,0.08178775757551193,0.05525394854415032,61.0,1.0,-0.0014883260257908676,-1.9674491919338832,1.4933386908637152,1.7071683406829834,1.4163405917768395,45.0,1.0
RGI2000-v7.0-G-14-07781,14,14-02,G073975E36737N,833886,752,2001-07-11T00:00:00,73.97842680652877,36.737215,43,4.902907216335,0,0,0,9,,0,74.01112121862408,36.74443823482188,3320.9011,5422.0693,4386.8765,4327.053,26.85609,56.30025,2,COPDEM30,6546,4223.14404296875,4323.58349609375,4276.211216517857,7.0,35.25746219079248,4269.44140625,4251.232177734375,4307.422607421875,1.0,100.439453125,60.85987006293403,18.0,1.3942626225879198,60.95219421386719,59.687493324279785,61.980377197265625,1.0,0.7032153265816825,0.7119667530059814,0.02763724364297471,0.6890329718589783,0.7282170951366425,14.0,1.0,0.6919148308890206,0.6939424276351929,0.013392340467835013,0.6839726120233536,0.7024607956409454,14.0,1.0,-0.01130057658467974,-0.008017927408218384,14.0,1.0,-1.4559495108468192,-1.1453156471252441,14.0,1.0,0.7616707256862095,0.7620605826377869,0.0197046257594676,14.0,1.0,0.7394646917070661,0.7379783987998962,0.023187325742604313,14.0,1.0,-0.022206033979143447,-2.915437502096124,-0.4506748744419643,-0.42208680510520935,0.1386757976525853,14.0,1.0
RGI2000-v7.0-G-14-07924,14,14-02,G074121E36792N,834630,752,2001-07-11T00:00:00,74.118413,36.793316000000004,43,2.576677025439266,0,0,0,9,,0,74.12616620019645,36.808264188132426,4323.8125,5472.7676,4773.1045,4746.62,18.57092,1.2393731,1,COPDEM30,3931,4768.49560546875,4776.173828125,4772.8890625,5.0,3.3514160607986807,4774.6474609375,4769.1904296875,4775.93798828125,1.0,7.67822265625,156.42747860863096,21.0,4.199180726658346,156.0584716796875,153.4543914794922,159.36285400390625,1.0,0.1426572098451502,0.14214679598808289,0.0058879760353152365,0.13840703666210175,0.14594410359859467,17.0,1.0,0.15469962007859173,0.15516676008701324,0.0026022028186084727,0.15249870717525482,0.15595155954360962,17.0,1.0,0.012042391826124751,0.014138221740722656,17.0,1.0,8.576247271369486,10.049959182739258,17.0,1.0,0.1463345499599681,0.14662125706672668,0.0036491446778167003,17.0,1.0,0.1457976733936983,0.14510448276996613,0.0035766171358239222,17.0,1.0,-0.0005368765662698005,-0.36688298588178303,0.8158816730274874,0.796524167060852,0.2196309844545464,17.0,1.0
RGI2000-v7.0-G-14-07930,14,14-02,G074162E36781N,834908,752,2002-07-10T00:00:00,74.16391597194632,36.7695885,43,39.495888752290256,0,0,0,9,Koz Yaz Glacier,0,74.19998268262034,36.82176109378751,3676.5188,6114.2197,4752.6196,4686.2993,16.482689,33.090176,2,COPDEM90,18001,3901.897705078125,4911.8798828125,4438.695936639118,726.0,303.6767129645643,4567.6572265625,4136.9573974609375,4683.92724609375,1.0,1009.982177734375,275.2239491061363,6209.0,70.49529233062327,280.1641540527344,231.1907196044922,335.5757751464844,1.0,0.25298341835831256,0.22907939553260803,0.08480023836795061,0.19037122651934624,0.30509835481643677,4412.0,1.0,0.29533542553511727,0.24714836478233337,0.15147028905901094,0.18925724551081657,0.3859376087784767,4412.0,1.0,0.04235201409375354,0.023926399648189545,4412.0,1.0,13.272638011389393,9.670732498168945,4412.0,1.0,0.25721650802321794,0.21052297949790955,0.10974792793799791,4412.0,1.0,0.2717691319483794,0.23510511219501495,0.1080476496500197,4412.0,1.0,0.01455262392516149,5.6577332602026775,1.8123452816891432,2.111191511154175,2.2079555722000253,4412.0,1.0
RGI2000-v7.0-G-14-07936,14,14-02,G074104E36742N,834559,752,2002-07-10T00:00:00,74.1037811730154,36.7424355,43,1.415449942688719,0,0,3,9,,0,74.09719143664049,36.744132492969115,5318.753,6099.9316,5752.1313,5755.9785,28.776487,283.4242858886719,7,COPDEM30,1647,5756.57958984375,5756.57958984375,5756.57958984375,1.0,0.0,5756.57958984375,5756.57958984375,5756.57958984375,1.0,0.0,82.97408294677734,2.0,1.6371383666992188,82.97408294677734,82.15551376342773,83.79265213012695,1.0,0.17813222110271454,0.17813222110271454,0.0,0.17813222110271454,0.17813222110271454,1.0,1.0,0.15140466392040253,0.15140466392040253,0.0,0.15140466392040253,0.15140466392040253,1.0,1.0,-0.02672755718231201,-0.02672755718231201,1.0,1.0,-15.004337310791016,-15.004337310791016,1.0,1.0,0.1568836271762848,0.1568836271762848,0.0,1.0,1.0,0.15957120060920715,0.15957120060920715,0.0,1.0,1.0,0.0026875734329223633,1.713100010049123,2.5026464462280273,2.5026464462280273,0.0,1.0,1.0
RGI2000-v7.0-G-14-07939,14,14-02,G074081E36800N,834414,752,2001-07-11T00:00:00,74.07929767894737,36.800786,43,3.733212557349755,0,0,0,9,,0,74.10209239747233,36.799977535237026,4607.065,5451.067,5105.4604,5069.9707,20.042118,46.620117,2,COPDEM30,4066,4911.04638671875,5051.67822265625,4976.673913043478,23.0,40.474886462396555,4971.7060546875,4940.109130859375,5006.527099609375,1.0,140.6318359375,106.69449515964673,184.0,8.582468924748552,105.33905029296875,99.75782203674316,113.29910278320312,1.0,0.3616453665274161,0.360697478055954,0.04130629027903886,0.33386267721652985,0.39808855950832367,135.0,1.0,0.5095305266203703,0.5148288607597351,0.04727178485903678,0.4879370927810669,0.5367681086063385,135.0,1.0,0.1478851318359375,0.1616184115409851,135.0,1.0,42.2413013599537,46.45537185668945,135.0,1.0,0.4162950586389612,0.4252142012119293,0.03153267533148661,135.0,1.0,0.40520231458875866,0.40667927265167236,0.03340557988435135,135.0,1.0,-0.011092744050202552,-2.664635051511125,-1.208204820421007,-1.074809193611145,1.1925588865734382,135.0,1.0
RGI2000-v7.0-G-14-07946,14,14-02,G074069E36821N,834356,752,2001-07-11T00:00:00,74.06930313763309,36.821163999999996,43,3.489520759707751,0,0,0,9,,0,74.08555355029418,36.821578828803055,4609.695,5407.327,4921.413,4922.332,17.458014,56.42792,2,COPDEM30,3473,4810.31103515625,4896.5166015625,4863.005580357143,14.0,24.599044700186912,4871.8505859375,4849.992919921875,4882.29638671875,1.0,86.20556640625,113.59907459077381,84.0,9.245615118656,112.0631332397461,107.0258731842041,119.01258277893066,1.0,0.23400921118064005,0.2342289686203003,0.013406622975134131,0.2232339084148407,0.24393197894096375,61.0,1.0,0.35715515887151,0.3497450053691864,0.027769988910868706,0.3378846347332001,0.3627663552761078,61.0,1.0,0.12314594769086994,0.12065690755844116,61.0,1.0,52.58100265753074,51.93274688720703,61.0,1.0,0.2720929130178983,0.2712814211845398,0.015492293282971576,61.0,1.0,0.28744525596743725,0.28201228380203247,0.0267426608630438,61.0,1.0,0.015352342949538966,5.642316361444184,1.3236336629898822,1.2011175155639648,1.1571164407254737,61.0,1.0
RGI2000-v7.0-G-14-07961,14,14-02,G074111E36855N,834589,752,2002-07-10T00:00:00,74.11083767015707,36.864188999999996,43,5.264130777089294,0,0,0,9,,0,74.1032475472717,36.88966397365529,4231.5337,5754.1465,4734.125,4806.391,19.407677,351.26391220092773,1,COPDEM30,5840,4672.98193359375,4703.341796875,4691.439583333334,15.0,7.498067208153476,4693.33642578125,4688.087890625,4696.930419921875,1.0,30.35986328125,151.17045171210106,94.0,8.026109422429009,153.47467041015625,144.5697898864746,158.2897071838379,1.0,0.15730817553023219,0.15564672648906708,0.009907427504627114,0.1504795402288437,0.1615317091345787,71.0,1.0,0.15071729203345072,0.14919626712799072,0.011380029199532318,0.14192169159650803,0.1579328253865242,71.0,1.0,-0.006590881398026372,-0.0065014660358428955,71.0,1.0,-4.141753290740537,-4.18242883682251,71.0,1.0,0.1510025615423498,0.14926952123641968,0.0097507476033246,71.0,1.0,0.1567812637544014,0.15397369861602783,0.014582103276411471,71.0,1.0,0.005778702212051595,3.826890188502474,1.4615085225709727,1.306050181388855,0.7303405264798315,71.0,1.0
RGI2000-v7.0-G-14-07967,14,14-02,G074170E36890N,834960,752,2002-07-10T00:00:00,74.17195988648851,36.889536,43,2.265782986273423,0,0,0,9,,0,74.17915265145653,36.892456718879906,4756.377,5607.55,5074.1787,5088.5444,23.526873,33.413372,2,COPDEM30,2454,4981.314453125,5028.54931640625,5002.658203125,5.0,18.595496228708523,5006.51025390625,4981.8310546875,5015.0859375,1.0,47.23486328125,51.980605616714016,33.0,5.750745299052632,53.44770431518555,49.43946075439453,56.359222412109375,1.0,0.20288116455078126,0.20187947154045105,0.011895515099020692,0.19364714622497559,0.21123777329921722,25.0,1.0,0.2548848533630371,0.25496211647987366,0.045909012223024695,0.22178378701210022,0.28556737303733826,25.0,1.0,0.05200368881225586,0.04991096258163452,25.0,1.0,24.75117919921875,24.340736389160156,25.0,1.0,0.20555986404418947,0.20303906500339508,0.0256567969088004,25.0,1.0,0.2153157615661621,0.21655352413654327,0.027198984736742444,25.0,1.0,0.009755897521972645,4.746012830537486,0.9885260009765625,1.0610309839248657,0.43616713191457984,25.0,1.0
RGI2000-v7.0-G-14-07986,14,14-02,G074183E36931N,834889,752,2002-07-10T00:00:00,74.15971995432821,36.935042499999994,43,17.471872200495426,0,0,2,9,,0,74.20404165089937,36.96566238386228,4529.76,5761.446,5129.661,5127.609,13.677476,26.900097,2,COPDEM90,7425,4823.08544921875,5413.25390625,5062.718944099379,483.0,121.99343391775187,5042.2353515625,4980.183349609375,5154.807861328125,1.0,590.16845703125,152.8239006514658,4298.0,26.825398526771323,158.84324645996094,135.0470962524414,172.34733200073242,1.0,0.1848519684920643,0.16054491698741913,0.0809858651744677,0.13007991760969162,0.20323298126459122,3044.0,1.0,0.34366402143561103,0.3129582405090332,0.18789794787970474,0.16045479476451874,0.511049747467041,3044.0,1.0,0.15881205294354672,0.12894615530967712,3044.0,1.0,81.23680293199737,60.989501953125,3044.0,1.0,0.24517687924118142,0.2281636893749237,0.11333005643713244,3044.0,1.0,0.24270700061211606,0.22339852154254913,0.10369553063969263,3044.0,1.0,-0.002469878629065364,-1.0073864373792503,-0.1504018435183712,0.32448825240135193,2.8644007119256556,3044.0,1.0
